Quantity,Name,ExpansionCode,ExpansionName,PurchasePrice,Foil,Condition,Language,PurchaseDate
1,Abandoned Sarcophagus,hou,Hour of Devastation,0.0,False,NearMint,English,2020-09-27
2,Abundant Maw,emn,Eldritch Moon,0.0,False,NearMint,English,2020-08-31
9,Accorder's Shield,som,Scars of Mirrodin,0.0,False,NearMint,English,2020-10-11
9,Aegis Automaton,aer,Aether Revolt,0.0,False,NearMint,English,2020-08-31
1,Aegis Automaton,aer,Aether Revolt,0.0,False,NearMint,Spanish,2020-08-31
2,Aesthir Glider,all,Alliances,0.0,False,NearMint,English,2020-08-31
3,Aesthir Glider,dom,Dominaria,0.0,False,NearMint,English,2020-08-31
1,Aesthir Glider,all,Alliances,0.0,False,NearMint,English,2020-09-27
1,Aether Spellbomb,mma,Modern Masters,0.0,False,Excellent,Italian,2021-01-04
8,Aether Spellbomb,mrd,Mirrodin,0.0,False,NearMint,English,2020-10-11
1,Aether Spellbomb,mrd,Mirrodin,0.0,False,NearMint,Italian,2020-10-11
1,Aetherflux Reservoir,kld,Kaladesh,0.0,False,NearMint,Italian,2020-09-28
1,Aethersphere Harvester,aer,Aether Revolt,0.0,False,NearMint,English,2020-10-11
1,Aladdin's Lamp,4ed,Fourth Edition,0.0,False,NearMint,English,2020-09-28
1,Aladdin's Lamp,3ed,Revised Edition,0.0,False,NearMint,Italian,2020-09-28
2,Alchemist's Vial,ori,Magic Origins,0.0,False,NearMint,Italian,2020-10-11
1,Alhammarret's Archive,ori,Magic Origins,0.0,False,NearMint,Italian,2020-09-28
1,Alloy Myr,nph,New Phyrexia,0.0,False,NearMint,English,2020-08-31
8,Alpha Myr,mrd,Mirrodin,0.0,False,NearMint,English,2020-08-31
1,Alpha Myr,mrd,Mirrodin,0.0,False,Good,English,2020-08-31
1,Altar of Dementia,mh1,Modern Horizons,0.0,False,NearMint,English,2020-09-27
1,Altar of Dementia,tmp,Tempest,0.0,False,NearMint,English,2020-09-27
1,Altar of Dementia,tmp,Tempest,0.0,False,NearMint,French,2020-09-27
1,Altar of Dementia,tmp,Tempest,0.0,False,Good,English,2020-09-27
1,Altar of Dementia,cns,Conspiracy,0.0,False,NearMint,English,2020-09-27
5,Altar of the Brood,ktk,Khans of Tarkir,0.0,False,NearMint,English,2020-09-27
4,Altar of the Pantheon,thb,Theros Beyond Death,0.0,False,NearMint,French,2020-10-11
1,Amaranthine Wall,dom,Dominaria,0.0,False,NearMint,English,2020-08-31
1,Amaranthine Wall,dom,Dominaria,0.0,False,NearMint,Italian,2020-08-31
2,Amber Prison,mir,Mirage,0.0,False,NearMint,English,2021-01-31
5,Amulet of Kroog,4ed,Fourth Edition,0.0,False,NearMint,English,2020-10-11
1,Amulet of Safekeeping,m19,Core Set 2019,0.0,False,NearMint,English,2021-01-05
1,Amulet of Unmaking,mir,Mirage,0.0,False,NearMint,English,2020-09-28
4,Amulet of Vigor,wwk,Worldwake,0.0,False,NearMint,English,2020-09-27
1,Angel's Feather,dst,Darksteel,0.0,False,NearMint,Italian,2021-01-04
1,Angel's Feather,10e,Tenth Edition,0.0,False,NearMint,English,2020-10-04
1,Angel's Feather,10e,Tenth Edition,0.0,False,NearMint,Italian,2020-10-04
2,Angel's Tomb,ori,Magic Origins,0.0,False,NearMint,Italian,2020-10-04
1,Animation Module,kld,Kaladesh,0.0,False,NearMint,English,2020-09-27
1,Ankh of Mishra,6ed,Classic Sixth Edition,0.0,False,NearMint,English,2020-09-27
1,Ankh of Mishra,3ed,Revised Edition,0.0,False,NearMint,English,2020-09-27
3,Ankh of Mishra,4ed,Fourth Edition,0.0,False,NearMint,English,2020-09-27
1,Ankh of Mishra,4ed,Fourth Edition,0.0,True,NearMint,Italian,2020-09-27
3,Anodet Lurker,5dn,Fifth Dawn,0.0,False,NearMint,English,2020-09-01
1,Anodet Lurker,5dn,Fifth Dawn,0.0,False,NearMint,Italian,2021-01-04
2,Antler Skulkin,eve,Eventide,0.0,False,NearMint,Italian,2021-01-04
4,Anvil of Bogardan,vis,Visions,0.0,False,NearMint,English,2020-09-27
1,Anvil of Bogardan,vis,Visions,0.0,False,NearMint,Portuguese,2020-09-27
1,Anvilwrought Raptor,ths,Theros,0.0,False,NearMint,Italian,2020-08-31
1,Arachnoid,5dn,Fifth Dawn,0.0,False,NearMint,English,2020-08-31
3,Arcane Encyclopedia,m19,Core Set 2019,0.0,False,NearMint,English,2021-01-04
1,Arcane Spyglass,dst,Darksteel,0.0,False,NearMint,English,2020-10-11
3,Arcane Spyglass,dst,Darksteel,0.0,False,NearMint,Italian,2020-10-11
5,Arcbound Bruiser,dst,Darksteel,0.0,False,NearMint,Italian,2021-01-04
1,Arcbound Bruiser,dst,Darksteel,0.0,False,Excellent,Italian,2020-09-01
4,Arcbound Crusher,dst,Darksteel,0.0,False,NearMint,English,2020-08-31
2,Arcbound Crusher,dst,Darksteel,0.0,False,NearMint,Italian,2020-08-31
3,Arcbound Fiend,dst,Darksteel,0.0,False,NearMint,Italian,2020-10-05
1,Arcbound Hybrid,dst,Darksteel,0.0,False,NearMint,English,2020-09-01
4,Arcbound Hybrid,dst,Darksteel,0.0,False,NearMint,Italian,2020-09-01
1,Arcbound Hybrid,dst,Darksteel,0.0,False,Played,English,2020-09-01
1,Arcbound Hybrid,dst,Darksteel,0.0,False,Played,Italian,2020-09-01
2,Arcbound Hybrid,dst,Darksteel,0.0,False,Poor,English,2020-09-01
1,Arcbound Lancer,dst,Darksteel,0.0,False,NearMint,English,2020-08-31
1,Arcbound Lancer,dst,Darksteel,0.0,False,NearMint,Italian,2020-08-31
1,Arcbound Lancer,dst,Darksteel,0.0,False,Excellent,Italian,2020-08-31
2,Arcbound Reclaimer,dst,Darksteel,0.0,False,NearMint,Italian,2020-08-31
1,Arcbound Slith,dst,Darksteel,0.0,False,NearMint,English,2020-07-26
3,Arcbound Stinger,dst,Darksteel,0.0,False,NearMint,English,2020-08-31
2,Arcbound Stinger,dst,Darksteel,0.0,False,NearMint,Italian,2020-08-31
1,Arcbound Stinger,dst,Darksteel,0.0,False,Played,English,2021-01-04
4,Arcbound Worker,dst,Darksteel,0.0,False,NearMint,English,2020-08-31
6,Arcbound Worker,dst,Darksteel,0.0,False,NearMint,Italian,2020-08-31
17,Arcbound Worker,dst,Darksteel,0.0,True,NearMint,English,2020-08-31
1,Arcum's Sleigh,ice,Ice Age,0.0,False,NearMint,English,2020-10-04
1,Arcum's Weathervane,ice,Ice Age,0.0,False,NearMint,Italian,2020-10-12
1,Arcum's Whistle,ice,Ice Age,0.0,False,NearMint,English,2020-10-04
2,Arena of the Ancients,chr,Chronicles,0.0,False,NearMint,English,2020-09-27
1,Argentum Armor,som,Scars of Mirrodin,0.0,False,NearMint,English,2020-10-11
4,Ark of Blight,scg,Scourge,0.0,False,NearMint,English,2020-10-04
1,Armillary Sphere,con,Conflux,0.0,False,NearMint,Italian,2021-01-04
3,Armory of Iroas,jou,Journey into Nyx,0.0,False,NearMint,Italian,2020-10-11
2,Artisan of Kozilek,mm2,Modern Masters 2015,0.0,False,NearMint,English,2020-08-31
4,Neglected Heirloom // Ashmouth Blade,soi,Shadows over Innistrad,0.0,False,NearMint,Italian,2020-10-11
5,Ashnod's Altar,chr,Chronicles,0.0,False,NearMint,English,2020-10-05
1,Ashnod's Battle Gear,atq,Antiquities,0.0,False,NearMint,French,2020-10-04
1,Ashnod's Battle Gear,4ed,Fourth Edition,0.0,False,NearMint,English,2020-10-04
1,Ashnod's Battle Gear,4ed,Fourth Edition,0.0,False,NearMint,Spanish,2020-10-04
1,Ashnod's Cylix,all,Alliances,0.0,False,NearMint,English,2020-09-27
3,Ashnod's Transmogrant,chr,Chronicles,0.0,False,NearMint,English,2020-10-11
2,Ashnod's Transmogrant,atq,Antiquities,0.0,False,NearMint,Italian,2020-10-11
1,Assembly-Worker,a25,Masters 25,0.0,False,NearMint,English,2020-08-31
2,Astrolabe,all,Alliances,0.0,False,NearMint,English,2020-10-11
3,Astrolabe,all,Alliances,0.0,False,NearMint,English,2020-10-11
5,Augmenting Automaton,aer,Aether Revolt,0.0,False,NearMint,English,2020-08-31
8,Auriok Replica,som,Scars of Mirrodin,0.0,False,NearMint,English,2020-08-31
2,Auriok Siege Sled,dst,Darksteel,0.0,False,NearMint,English,2020-08-31
3,Auriok Siege Sled,dst,Darksteel,0.0,False,NearMint,Italian,2020-08-31
1,Cryptolith Fragment // Aurora of Emrakul,emn,Eldritch Moon,0.0,False,NearMint,English,2020-08-31
1,Cryptolith Fragment // Aurora of Emrakul,emn,Eldritch Moon,0.0,False,NearMint,Italian,2020-10-04
1,Avarice Totem,5dn,Fifth Dawn,0.0,False,Poor,English,2020-10-11
1,Azorius Cluestone,dgm,Dragon's Maze,0.0,False,NearMint,Italian,2020-10-11
1,Azorius Cluestone,dgm,Dragon's Maze,0.0,False,NearMint,Japanese,2020-10-11
1,Azorius Cluestone,dgm,Dragon's Maze,0.0,True,NearMint,Japanese,2020-10-11
4,Azorius Locket,rna,Ravnica Allegiance,0.0,False,NearMint,English,2020-10-11
1,Banshee's Blade,mrd,Mirrodin,0.0,False,NearMint,English,2020-10-11
4,Banshee's Blade,mrd,Mirrodin,0.0,False,NearMint,Italian,2020-10-11
2,Barbed Battlegear,som,Scars of Mirrodin,0.0,False,NearMint,English,2020-10-11
6,Barbed Sextant,ice,Ice Age,0.0,False,NearMint,English,2020-10-11
1,Barl's Cage,drk,The Dark,0.0,False,NearMint,English,2021-01-31
