Quantity,Name,ExpansionCode,ExpansionName,PurchasePrice,Foil,Condition,Language,PurchaseDate
4,Abnormal Endurance,m19,Core Set 2019,0.02,False,NearMint,English,2018-08-18
2,Absorb Vis,ddk,Duel Decks: Sorin vs. Tibalt,0.07,False,NearMint,English,2018-07-29
1,Abyssal Horror,usg,Urza's Saga,0.22,False,NearMint,English,2018-07-29
1,Acolyte of Xathrid,m10,Magic 2010,0.05,False,NearMint,English,2018-07-29
1,Aphetto Dredging,h09,Premium Deck Series: Slivers,0.0,False,NearMint,English,2018-07-29
2,Aphetto Vulture,ons,Onslaught,0.06,False,NearMint,English,2018-07-29
1,Aspect of Gorgon,jou,Journey into Nyx,0.06,False,NearMint,English,2018-07-29
1,Assassin's Strike,rtr,Return to Ravnica,0.04,False,NearMint,English,2018-07-29
1,Assassinate,bbd,Battlebond,0.04,False,NearMint,English,2018-07-29
1,Barter in Blood,avr,Avacyn Restored,0.08,False,NearMint,English,2018-07-29
3,Befoul,usg,Urza's Saga,0.18,False,NearMint,English,2018-09-18
1,Bereavement,usg,Urza's Saga,0.14,False,NearMint,English,2018-07-29
2,Betrayal of Flesh,mrd,Mirrodin,0.13,False,NearMint,English,2018-07-29
4,Black Cat,m15,Magic 2015,0.07,False,NearMint,Italian,2018-07-29
1,Black Poplar Shaman,lrw,Lorwyn,0.12,False,NearMint,English,2018-07-29
2,Blood Divination,m19,Core Set 2019,0.04,False,NearMint,English,2018-08-18
2,Blood Tribute,zen,Zendikar,0.43,False,NearMint,English,2018-08-19
1,Blood-Toll Harpy,ths,Theros,0.03,False,NearMint,English,2018-07-29
1,Bog Imp,drk,The Dark,0.12,False,NearMint,English,2018-07-29
3,Bog Imp,8ed,Eighth Edition,0.06,False,NearMint,English,2018-07-29
2,Bog Tatters,zen,Zendikar,0.05,False,NearMint,English,2018-07-29
1,Boggart Birth Rite,lrw,Lorwyn,0.09,False,NearMint,English,2018-07-29
4,Bogstomper,m19,Core Set 2019,0.02,False,NearMint,English,2018-08-18
1,Bone Dragon,m19,Core Set 2019,0.0,False,NearMint,English,2018-08-18
1,Boneshard Slasher,tor,Torment,0.07,False,NearMint,English,2018-07-29
1,Brain Gorgers,plc,Planar Chaos,0.07,False,NearMint,English,2018-07-29
1,Brainspoil,rav,Ravnica: City of Guilds,0.12,False,NearMint,English,2018-07-29
1,Breathstealer,mir,Mirage,0.06,False,NearMint,English,2018-07-29
3,Bubbling Muck,uds,Urza's Destiny,0.41,False,NearMint,English,2018-09-18
1,Bubbling Muck,uds,Urza's Destiny,0.41,False,NearMint,Italian,2018-09-18
1,Burden of Greed,dst,Darksteel,0.05,False,NearMint,English,2018-07-29
4,Cabal Ritual,tor,Torment,0.0,False,NearMint,English,2018-08-19
1,Cabal Surgeon,tor,Torment,0.08,False,NearMint,English,2018-07-29
1,Call for Blood,bok,Betrayers of Kamigawa,0.06,False,NearMint,English,2018-07-29
1,Carrion Beetles,usg,Urza's Saga,0.07,False,NearMint,English,2018-07-29
1,Carrion Rats,tor,Torment,0.13,False,NearMint,English,2018-07-29
1,Carrion Wall,8ed,Eighth Edition,0.11,False,NearMint,English,2018-07-29
1,Caustic Crawler,wwk,Worldwake,0.07,False,NearMint,English,2018-07-29
1,Cavern Lampad,ths,Theros,0.05,False,NearMint,English,2018-07-29
5,Child of Night,m19,Core Set 2019,0.01,False,NearMint,English,2018-08-18
2,Chill Haunting,scg,Scourge,0.09,False,NearMint,English,2018-07-29
4,Choking Sands,mir,Mirage,0.0,False,NearMint,English,2018-09-18
1,Chosen of Markov // Markov's Servant,dka,Dark Ascension,0.05,False,NearMint,English,2018-07-29
1,Cinderhaze Wretch,shm,Shadowmoor,0.11,False,NearMint,English,2018-07-29
2,Clutch of Undeath,scg,Scourge,0.06,False,NearMint,English,2018-07-29
5,Coercion,vis,Visions,0.05,False,NearMint,Italian,2018-07-29
1,Coercion,btd,Beatdown Box Set,0.14,False,NearMint,English,2018-07-29
1,Consume Spirit,dvd,Duel Decks Anthology: Divine vs. Demonic,0.2,False,NearMint,English,2018-07-29
1,Contagious Nim,som,Scars of Mirrodin,0.11,False,NearMint,English,2018-07-29
1,Contaminated Bond,10e,Tenth Edition,0.1,False,NearMint,English,2018-07-29
1,Contract Killing,xln,Ixalan,0.03,False,NearMint,English,2018-08-19
1,Corpse Blockade,gtc,Gatecrash,0.07,False,NearMint,English,2018-07-29
1,Cradle to Grave,plc,Planar Chaos,0.08,False,NearMint,English,2018-07-29
3,Crawling Filth,bok,Betrayers of Kamigawa,0.07,False,NearMint,English,2018-07-29
1,Cremate,rtr,Return to Ravnica,0.06,False,NearMint,English,2018-07-29
2,Crown of Suspicion,ons,Onslaught,0.04,False,NearMint,English,2018-07-29
1,Cruel Edict,10e,Tenth Edition,0.29,False,NearMint,Japanese,2018-10-14
1,Cruel Revival,ons,Onslaught,0.1,False,NearMint,English,2018-07-29
1,Crypt Creeper,avr,Avacyn Restored,0.07,False,NearMint,English,2018-07-29
1,Crypt Ripper,zen,Zendikar,0.06,False,NearMint,English,2018-07-29
4,Culling the Weak,exo,Exodus,0.0,False,NearMint,English,2018-08-19
1,Dakmor Scorpion,p02,Portal Second Age,0.07,False,NearMint,English,2018-07-29
1,Dark Banishing,ice,Ice Age,0.08,False,NearMint,English,2018-07-29
4,Dark Ritual,3ed,Revised Edition,0.0,False,NearMint,English,2018-08-15
4,Dark Ritual,mir,Mirage,0.44,False,NearMint,English,2018-09-18
1,Dash Hopes,plc,Planar Chaos,1.09,False,NearMint,English,2018-07-29
1,Dead Ringers,apc,Apocalypse,0.07,False,NearMint,English,2018-07-29
2,Deadeye Tormentor,xln,Ixalan,0.03,False,NearMint,Italian,2018-08-19
1,Deadly Grub,plc,Planar Chaos,0.08,False,NearMint,English,2018-07-29
1,Death Denied,mm2,Modern Masters 2015,0.12,False,NearMint,English,2018-07-29
1,Death Rattle,fut,Future Sight,0.1,False,NearMint,English,2018-07-29
1,Death's Approach,gtc,Gatecrash,0.07,False,NearMint,English,2018-07-29
1,Death's Caress,dka,Dark Ascension,0.06,False,NearMint,English,2018-07-29
2,Death's-Head Buzzard,scg,Scourge,0.07,False,NearMint,English,2018-07-29
1,Deathcurse Ogre,chk,Champions of Kamigawa,0.07,False,NearMint,English,2018-07-29
1,Deathgrip,3ed,Revised Edition,0.14,False,NearMint,Italian,2018-10-28
1,Deathgrip,4ed,Fourth Edition,0.14,False,NearMint,English,2018-07-29
1,Deathgrip,2ed,Unlimited Edition,0.0,False,NearMint,English,2018-07-29
1,Deathknell Kami,sok,Saviors of Kamigawa,0.05,False,NearMint,English,2018-07-29
1,Deathmark Prelate,lgn,Legions,0.08,False,NearMint,English,2018-07-29
1,Deathmask Nezumi,sok,Saviors of Kamigawa,0.07,False,NearMint,English,2018-07-29
3,Demonic Tutor,3ed,Revised Edition,0.0,False,NearMint,English,2018-08-19
1,Despoil,pcy,Prophecy,0.11,False,NearMint,English,2018-07-29
1,Diabolic Tutor,m12,Magic 2012,0.28,False,NearMint,English,2018-08-19
1,Diregraf Ghoul,m19,Core Set 2019,0.11,False,NearMint,English,2018-08-18
2,Disciple of Malice,ons,Onslaught,0.06,False,NearMint,English,2018-07-29
1,Disciple of Phenax,ths,Theros,0.08,False,NearMint,English,2018-07-29
1,Distress,10e,Tenth Edition,0.14,False,NearMint,English,2018-07-29
5,Doomed Dissenter,m19,Core Set 2019,0.04,False,NearMint,English,2018-08-18
1,Douse in Gloom,gpt,Guildpact,0.05,False,NearMint,English,2018-07-29
1,Drag Down,con,Conflux,0.04,False,NearMint,English,2018-07-29
3,Dragon Shadow,scg,Scourge,0.12,False,NearMint,English,2018-07-29
3,Drain Life,3ed,Revised Edition,0.11,False,NearMint,English,2018-08-19
1,Dreadbringer Lampads,jou,Journey into Nyx,0.04,False,NearMint,English,2018-07-29
3,Dripping Dead,lgn,Legions,0.05,False,NearMint,English,2018-07-29
2,Dross Crocodile,5dn,Fifth Dawn,0.04,False,NearMint,English,2018-07-29
1,Dross Prowler,mrd,Mirrodin,0.09,False,NearMint,English,2018-07-29
1,Drudge Reavers,tsp,Time Spiral,0.04,False,NearMint,English,2018-07-29
1,Drudge Skeletons,3ed,Revised Edition,0.14,False,NearMint,Italian,2018-08-18
4,Duress,m19,Core Set 2019,0.09,False,NearMint,English,2018-08-18
1,Duress,m13,Magic 2013,0.09,False,Played,English,2018-07-29
1,Dusk Imp,8ed,Eighth Edition,0.04,False,NearMint,English,2018-07-29
1,Dusk Imp,10e,Tenth Edition,0.1,False,NearMint,English,2018-07-29
1,Duty-Bound Dead,m13,Magic 2013,0.09,False,NearMint,English,2018-07-29
1,Earsplitting Rats,jud,Judgment,0.11,False,NearMint,English,2018-07-29
1,Earthblighter,lgn,Legions,0.1,False,NearMint,English,2018-07-29
1,Echoing Decay,dst,Darksteel,0.24,False,NearMint,English,2018-07-29
1,Emissary of Despair,dst,Darksteel,0.07,False,NearMint,English,2018-07-29
2,Epicure of Blood,m19,Core Set 2019,0.02,False,NearMint,English,2018-08-18
1,Essence Drain,dst,Darksteel,0.03,False,NearMint,English,2018-07-29
1,Evil Presence,3ed,Revised Edition,0.21,False,NearMint,Italian,2018-10-28
2,Exotic Curse,dde,Duel Decks: Phyrexia vs. the Coalition,0.05,False,NearMint,English,2018-07-29
2,Exquisite Blood,avr,Avacyn Restored,0.0,False,NearMint,English,2018-08-15
1,Fade from Memory,ons,Onslaught,0.06,False,NearMint,English,2018-07-29
1,Fathom Fleet Cutthroat,xln,Ixalan,0.01,False,NearMint,English,2018-08-19
1,Fear,8ed,Eighth Edition,0.06,False,NearMint,English,2018-07-29
3,Fear,8ed,Eighth Edition,0.06,False,NearMint,Italian,2018-07-29
5,Fear,3ed,Revised Edition,0.11,False,NearMint,English,2018-08-18
1,Feast of Dreams,jou,Journey into Nyx,0.03,False,NearMint,English,2018-07-29
1,Fell Specter,m19,Core Set 2019,0.13,False,NearMint,English,2018-08-18
2,Festercreep,c16,Commander 2016,0.05,False,NearMint,Italian,2018-07-29
1,Festergloom,m15,Magic 2015,0.02,False,NearMint,English,2018-07-29
1,Festering Goblin,9ed,Ninth Edition,0.1,False,NearMint,English,2018-07-29
1,Fetid Horror,mir,Mirage,0.05,False,NearMint,English,2018-07-29
2,Fleshgrafter,5dn,Fifth Dawn,0.04,False,NearMint,Italian,2018-07-29
1,Footbottom Feast,cmd,Commander 2011,0.1,False,NearMint,English,2018-07-29
1,Frightshroud Courier,ons,Onslaught,0.05,False,NearMint,English,2018-07-29
1,Frozen Shade,5ed,Fifth Edition,0.1,False,NearMint,English,2018-07-29
1,Funeral March,5ed,Fifth Edition,0.07,False,NearMint,English,2018-07-29
1,Gempalm Polluter,lgn,Legions,0.57,False,NearMint,English,2018-07-29
1,Ghosts of the Damned,leg,Legends,0.18,False,NearMint,English,2018-07-29
1,Ghoulflesh,avr,Avacyn Restored,0.06,False,NearMint,English,2018-07-29
1,Giant Cockroach,8ed,Eighth Edition,0.05,False,NearMint,Italian,2018-07-29
2,Giant Scorpion,m13,Magic 2013,0.06,False,NearMint,Italian,2018-07-29
4,Gifted Aetherborn,aer,Aether Revolt,0.0,False,NearMint,Italian,2018-08-15
1,Gnat Miser,sok,Saviors of Kamigawa,0.16,False,NearMint,English,2018-07-29
2,Goblin Turncoat,lgn,Legions,0.11,False,NearMint,English,2018-07-29
4,Grasp of Darkness,ogw,Oath of the Gatewatch,0.28,False,NearMint,English,2018-08-19
1,Gravedigger,m19,Core Set 2019,0.04,False,NearMint,English,2018-08-18
1,Gravedigger,m19,Core Set 2019,0.11,True,NearMint,English,2018-08-18
1,Gravedigger,ody,Odyssey,0.05,False,NearMint,English,2018-07-29
2,Gravedigger,10e,Tenth Edition,0.06,False,NearMint,English,2018-07-29
1,Gravepurge,dka,Dark Ascension,0.08,False,NearMint,English,2018-07-29
2,Graveyard Marshal,m19,Core Set 2019,0.0,False,NearMint,English,2018-08-18
1,Grim Roustabout,rtr,Return to Ravnica,0.06,False,NearMint,English,2018-07-29
3,Grimclaw Bats,dst,Darksteel,0.05,False,NearMint,Italian,2018-07-29
1,Grixis Slavedriver,con,Conflux,0.12,False,NearMint,Italian,2018-07-29
1,Gutter Skulk,gtc,Gatecrash,0.07,False,NearMint,English,2018-07-29
1,Gutwrencher Oni,chk,Champions of Kamigawa,0.08,False,NearMint,English,2018-07-29
4,Haunted Cadaver,ons,Onslaught,0.06,False,NearMint,English,2018-07-29
2,Haunting Misery,wth,Weatherlight,0.11,False,NearMint,English,2018-07-29
2,Heartstabber Mosquito,zen,Zendikar,0.06,False,NearMint,Italian,2018-07-29
1,Highway Robber,10e,Tenth Edition,0.09,False,NearMint,English,2018-07-29
4,Hired Blade,m19,Core Set 2019,0.01,False,NearMint,English,2018-08-18
1,Hoar Shade,ice,Ice Age,0.06,False,NearMint,English,2018-07-29
4,Horrifying Revelation,mbs,Mirrodin Besieged,0.06,False,NearMint,English,2018-07-29
1,Howl from Beyond,3ed,Revised Edition,0.13,False,NearMint,Italian,2018-10-28
3,Hunger of the Nim,dst,Darksteel,0.06,False,NearMint,English,2018-07-29
1,Icequake,ice,Ice Age,0.0,False,NearMint,English,2018-09-18
3,Infectious Horror,m19,Core Set 2019,0.03,False,NearMint,English,2018-08-18
4,Infernal Contract,mir,Mirage,0.51,False,NearMint,English,2018-08-19
1,Infernal Reckoning,m19,Core Set 2019,0.48,False,NearMint,English,2018-08-18
4,Infernal Scarring,m19,Core Set 2019,0.01,False,NearMint,English,2018-08-18
2,Irradiate,mrd,Mirrodin,0.05,False,NearMint,English,2018-07-29
1,Jagwasp Swarm,wwk,Worldwake,0.05,False,NearMint,English,2018-07-29
1,Jagwasp Swarm,wwk,Worldwake,0.04,False,NearMint,Japanese,2018-10-14
1,Kaervek's Hex,mir,Mirage,0.14,False,NearMint,English,2018-07-29
1,Keepsake Gorgon,ths,Theros,0.05,False,NearMint,English,2018-07-29
4,Knight of Stromgald,ice,Ice Age,0.23,False,NearMint,English,2018-09-18
1,Lash of the Whip,ths,Theros,0.04,False,NearMint,English,2018-07-29
2,Leshrac's Sigil,ice,Ice Age,0.15,False,NearMint,English,2018-07-29
4,Lich's Caress,m19,Core Set 2019,0.01,False,NearMint,English,2018-08-18
1,Liliana's Contract,m19,Core Set 2019,0.36,False,NearMint,English,2018-08-18
1,Looming Shade,10e,Tenth Edition,0.06,False,NearMint,Italian,2018-07-29
1,Lose Hope,5dn,Fifth Dawn,0.07,False,NearMint,English,2018-07-29
2,Macabre Waltz,m19,Core Set 2019,0.03,False,NearMint,English,2018-08-18
1,March of the Drowned,xln,Ixalan,0.04,False,NearMint,English,2018-08-19
1,Mark of the Vampire,xln,Ixalan,0.04,False,NearMint,English,2018-08-19
1,Chosen of Markov // Markov's Servant,dka,Dark Ascension,0.05,False,NearMint,English,2018-07-29
1,Marrow Bats,avr,Avacyn Restored,0.05,False,NearMint,English,2018-07-29
1,Maze Abomination,dgm,Dragon's Maze,0.02,False,NearMint,English,2018-07-29
4,Megrim,sth,Stronghold,0.32,False,NearMint,English,2018-09-18
1,Mental Agony,avr,Avacyn Restored,0.05,False,NearMint,English,2018-07-29
1,Merrow Bonegnawer,eve,Eventide,0.05,False,NearMint,English,2018-07-29
1,Mesmeric Fiend,tor,Torment,0.11,False,NearMint,English,2018-07-29
1,Midnight Covenant,chk,Champions of Kamigawa,0.07,False,NearMint,English,2018-07-29
4,Mind Rot,m19,Core Set 2019,0.01,False,NearMint,English,2018-08-18
2,Mind Rot,8ed,Eighth Edition,0.06,False,NearMint,Italian,2018-07-29
2,Mind Sludge,8ed,Eighth Edition,0.11,False,NearMint,English,2018-07-29
1,Mindlash Sliver,tsp,Time Spiral,0.11,False,NearMint,English,2018-07-29
1,Mindstab,tsp,Time Spiral,0.11,False,NearMint,English,2018-07-29
1,Mire's Toll,ddr,Duel Decks: Nissa vs. Ob Nixilis,0.08,False,NearMint,English,2018-07-29
3,Moaning Spirit,p02,Portal Second Age,0.09,False,NearMint,English,2018-07-29
1,Mogis's Marauder,ths,Theros,0.08,False,NearMint,English,2018-07-29
2,Moonglove Changeling,mor,Morningtide,0.11,False,NearMint,Italian,2018-07-29
1,Morgue Theft,ody,Odyssey,0.2,False,NearMint,English,2018-07-29
1,Morgue Thrull,sth,Stronghold,0.05,False,NearMint,English,2018-07-29
1,Morgue Toad,pls,Planeshift,0.09,False,NearMint,English,2018-07-29
1,Moriok Scavenger,mrd,Mirrodin,0.04,False,NearMint,English,2018-07-29
1,Morsel Theft,mor,Morningtide,0.12,False,NearMint,English,2018-07-29
2,Mournful Zombie,apc,Apocalypse,0.07,False,NearMint,English,2018-07-29
1,Mournwhelk,lrw,Lorwyn,0.09,False,NearMint,English,2018-07-29
4,Murder,m19,Core Set 2019,0.14,False,NearMint,English,2018-08-18
1,Nameless Inversion,mm2,Modern Masters 2015,0.12,False,NearMint,English,2018-07-29
1,Nantuko Husk,10e,Tenth Edition,0.19,False,NearMint,English,2018-07-29
