Quantity,Name,ExpansionCode,ExpansionName,PurchasePrice,Foil,Condition,Language,PurchaseDate
5,Abduction,6ed,Classic Sixth Edition,0.0,False,NearMint,English,2020-05-23
2,Abduction,wth,Weatherlight,0.0,False,NearMint,English,2020-07-19
2,Abjure,wth,Weatherlight,0.0,False,NearMint,English,2020-07-19
1,"Aboshan, Cephalid Emperor",ody,Odyssey,0.0,False,NearMint,French,2020-05-23
2,Abstruse Interference,ogw,Oath of the Gatewatch,0.0,False,NearMint,Italian,2019-01-15
3,Academy Drake,dom,Dominaria,0.0,False,NearMint,English,2019-01-26
2,Academy Drake,dom,Dominaria,0.0,False,NearMint,Spanish,2020-05-23
3,Academy Journeymage,dom,Dominaria,0.0,False,NearMint,English,2019-07-29
1,Academy Researchers,usg,Urza's Saga,0.0,False,NearMint,English,2020-05-23
3,Accumulated Knowledge,nem,Nemesis,0.0,False,NearMint,English,2020-05-23
1,Accumulated Knowledge,a25,Masters 25,0.0,False,NearMint,English,2019-01-14
2,Acquire,5dn,Fifth Dawn,0.0,False,NearMint,Italian,2019-01-14
2,Advanced Stitchwing,emn,Eldritch Moon,0.0,False,NearMint,Italian,2019-01-30
1,Aeon Chronicler,plc,Planar Chaos,0.0,False,NearMint,English,2019-01-29
1,Aeon Chronicler,plc,Planar Chaos,0.0,False,NearMint,Italian,2019-01-29
1,Aerial Caravan,mmq,Mercadian Masques,0.0,False,NearMint,French,2020-07-19
1,Aerial Formation,jou,Journey into Nyx,0.0,False,NearMint,Italian,2019-01-14
1,Aerial Guide,hou,Hour of Devastation,0.0,False,NearMint,English,2019-01-26
2,Aerie Worshippers,bng,Born of the Gods,0.0,False,NearMint,Italian,2019-07-30
4,Aeronaut Tinkerer,m15,Magic 2015,0.0,False,NearMint,Italian,2019-01-26
1,Aether Adept,m11,Magic 2011,0.0,False,NearMint,English,2019-07-29
2,Aether Adept,m11,Magic 2011,0.0,False,NearMint,Italian,2019-07-29
1,Aether Adept,m12,Magic 2012,0.0,False,NearMint,Italian,2019-07-29
2,Aether Burst,ody,Odyssey,0.0,False,NearMint,English,2018-08-04
2,Aether Burst,ody,Odyssey,0.0,False,NearMint,Italian,2019-01-14
1,Aether Meltdown,kld,Kaladesh,0.0,False,NearMint,English,2020-05-23
1,Aether Storm,hml,Homelands,0.0,False,NearMint,English,2021-01-03
1,Aether Swooper,aer,Aether Revolt,0.0,False,NearMint,Italian,2019-07-14
