Quantity,Name,ExpansionCode,ExpansionName,PurchasePrice,Foil,Condition,Language,PurchaseDate
4,Absorb,rna,Ravnica Allegiance,0.0,False,NearMint,English,2020-07-18
1,Absorb,inv,Invasion,0.0,False,NearMint,English,2021-01-29
1,Absorb,inv,Invasion,0.0,False,NearMint,French,2021-01-29
2,Abzan Ascendancy,ktk,Khans of Tarkir,0.0,False,NearMint,English,2020-04-14
1,Abzan Ascendancy,ktk,Khans of Tarkir,0.0,False,NearMint,Italian,2020-04-14
2,Abzan Guide,ktk,Khans of Tarkir,0.0,False,NearMint,Italian,2020-04-14
1,"Adriana, Captain of the Guard",cn2,Conspiracy: Take the Crown,0.0,False,NearMint,English,2020-04-13
2,Aerial Engineer,m19,Core Set 2019,0.0,False,NearMint,English,2018-08-15
1,Aerial Engineer,m19,Core Set 2019,0.0,False,NearMint,French,2020-02-20
3,Aeromunculus,rna,Ravnica Allegiance,0.0,False,NearMint,English,2020-02-05
2,Aether Mutation,apc,Apocalypse,0.0,False,NearMint,English,2021-01-29
1,Aethermage's Touch,c13,Commander 2013,0.0,False,NearMint,Italian,2020-04-13
2,Aethertow,shm,Shadowmoor,0.0,False,NearMint,English,2020-04-13
1,Agent of Masks,mm3,Modern Masters 2017,0.0,False,NearMint,English,2020-02-04
1,Agony Warp,mm2,Modern Masters 2015,0.0,False,NearMint,English,2020-04-13
3,Agony Warp,ala,Shards of Alara,0.0,False,NearMint,English,2020-02-02
2,Agony Warp,mm3,Modern Masters 2017,0.0,False,NearMint,English,2020-02-02
1,"Agrus Kos, Wojek Veteran",rav,Ravnica: City of Guilds,0.0,False,NearMint,Italian,2020-02-04
3,Ahn-Crop Champion,akh,Amonkhet,0.0,False,NearMint,English,2020-04-13
1,Ahn-Crop Champion,akh,Amonkhet,0.0,False,NearMint,Italian,2020-02-04
2,Akroan Hoplite,ths,Theros,0.0,False,NearMint,Italian,2020-02-04
1,Alive // Well,dgm,Dragon's Maze,0.0,False,NearMint,Italian,2020-02-04
2,Altar of Bone,ice,Ice Age,0.0,False,NearMint,English,2020-02-04
1,Angel of Despair,uma,Ultimate Masters,0.0,False,NearMint,English,2020-02-04
1,Angelic Captain,bfz,Battle for Zendikar,0.0,False,NearMint,Italian,2020-02-04
4,Anurid Brushhopper,jud,Judgment,0.0,True,NearMint,English,2020-02-04
1,Appeal // Authority,hou,Hour of Devastation,0.0,False,NearMint,English,2020-04-13
4,Applied Biomancy,rna,Ravnica Allegiance,0.0,False,NearMint,English,2020-02-05
1,Arcades Sabboth,chr,Chronicles,0.0,False,NearMint,English,2020-02-05
1,Archon of the Triumvirate,rtr,Return to Ravnica,0.0,True,NearMint,English,2020-07-18
1,"Arlinn Kord // Arlinn, Embraced by the Moon",soi,Shadows over Innistrad,0.0,False,NearMint,Italian,2020-02-02
1,"Arlinn Kord // Arlinn, Embraced by the Moon",soi,Shadows over Innistrad,0.0,False,NearMint,Italian,2020-02-02
