Quantity,Name,Expansion Code,Expansion Name,PurchasePrice,Foil,Condition,Language,PurchaseDate
2,"Abandoned Outpost",ody,Odyssey,0.0,false,NearMint,English,20210126
1,"Abandoned Outpost",ody,Odyssey,0.0,false,NearMint,French,20200509
1,"Abandoned Outpost",ody,Odyssey,0.0,false,NearMint,Japanese,20200509
2,"Adarkar Wastes",5ed,Fifth Edition,0.0,false,NearMint,English,20200509
2,"Adarkar Wastes",6ed,Classic Sixth Edition,0.0,false,NearMint,English,20200509
1,"Adarkar Wastes",6ed,Classic Sixth Edition,0.0,true,NearMint,English,20200712
5,"Adarkar Wastes",ice,Ice Age,0.0,false,NearMint,English,20200509
1,"An-Havva Township",hml,Homelands,0.0,false,Good,English,20180815
8,"Ancient Den",mrd,Mirrodin,0.0,false,NearMint,English,20200607
1,"Ancient Spring",inv,Invasion,0.0,false,NearMint,English,20200509
3,"Ancient Tomb",tmp,Tempest,0.0,false,NearMint,English,20200509
2,"Ancient Tomb",tmp,Tempest,0.0,true,NearMint,English,20200713
4,"Arcane Sanctum",ala,Shards of Alara,0.0,false,NearMint,English,20200712
1,"Archaeological Dig",inv,Invasion,0.0,false,NearMint,English,20210117
1,"Arctic Flats",csp,Coldsnap,0.0,false,NearMint,Italian,20200509
1,"Arena",tsb,Time Spiral Timeshifted,0.0,false,NearMint,English,20200509
1,"Azorius Chancery",dis,Dissension,0.0,false,NearMint,Italian,20180815
1,"Azorius Chancery",ima,Iconic Masters,0.0,false,NearMint,English,20200509
2,"Azorius Guildgate",dgm,Dragon's Maze,0.0,false,NearMint,Italian,20200509
7,"Azorius Guildgate",rtr,Return to Ravnica,0.0,false,NearMint,Italian,20200509
3,"Azorius Guildgate",rna,Ravnica Allegiance,0.0,false,NearMint,English,20200509
7,"Azorius Guildgate",rna,Ravnica Allegiance,0.0,false,NearMint,English,20200509
4,"Bad River",mir,Mirage,0.0,false,NearMint,English,20210117
4,"Balduvian Trading Post",all,Alliances,0.0,false,NearMint,English,20200509
1,"Balduvian Trading Post",all,Alliances,0.0,false,NearMint,German,20200509
1,"Barbarian Ring",ody,Odyssey,0.0,false,NearMint,French,20200509
1,"Barbarian Ring",ody,Odyssey,0.0,false,NearMint,Italian,20180815
1,"Barren Moor",ons,Onslaught,0.0,false,NearMint,English,20200509
1,"Battlefield Forge",ori,Magic Origins,0.0,false,NearMint,Italian,20200509
3,"Bayou",2ed,Unlimited Edition,0.0,true,NearMint,English,20200509
2,"Blasted Landscape",usg,Urza's Saga,0.0,false,NearMint,English,20210117
3,"Blinkmoth Nexus",dst,Darksteel,0.0,true,NearMint,English,20200509
5,"Blinkmoth Well",mrd,Mirrodin,0.0,false,NearMint,English,20200531
2,"Bloodfell Caves",ktk,Khans of Tarkir,0.0,false,NearMint,English,20200509
23,"Bloodfell Caves",ktk,Khans of Tarkir,0.0,false,NearMint,Italian,20200509
4,"Bloodfell Caves",frf,Fate Reforged,0.0,false,NearMint,English,20200509
4,"Bloodfell Caves",frf,Fate Reforged,0.0,false,NearMint,Japanese,20200509
1,"Blossoming Sands",ktk,Khans of Tarkir,0.0,false,NearMint,English,20200509
18,"Blossoming Sands",ktk,Khans of Tarkir,0.0,false,NearMint,Italian,20200509
2,"Blossoming Sands",frf,Fate Reforged,0.0,false,NearMint,English,20200509
5,"Blossoming Sands",frf,Fate Reforged,0.0,false,NearMint,Italian,20200509
2,"Blossoming Sands",frf,Fate Reforged,0.0,false,NearMint,Japanese,20200509
2,"Bog Wreckage",ody,Odyssey,0.0,false,NearMint,English,20210127
1,"Bog Wreckage",ody,Odyssey,0.0,false,NearMint,French,20200509
2,"Bog Wreckage",ody,Odyssey,0.0,false,NearMint,Japanese,20200509
1,"Boreal Shelf",csp,Coldsnap,0.0,false,NearMint,Italian,20200509
1,"Boros Garrison",rav,Ravnica: City of Guilds,0.0,false,NearMint,Italian,20180815
5,"Boros Guildgate",grn,Guilds of Ravnica,0.0,false,NearMint,English,20200509
5,"Boros Guildgate",gtc,Gatecrash,0.0,false,NearMint,English,20200509
3,"Boros Guildgate",grn,Guilds of Ravnica,0.0,false,NearMint,English,20200509
1,"Bottomless Vault",fem,Fallen Empires,0.0,false,NearMint,English,20200509
1,"Brushland",6ed,Classic Sixth Edition,0.0,false,NearMint,English,20200509
4,"Brushland",ice,Ice Age,0.0,false,NearMint,English,20200509
4,"Cabal Pit",ody,Odyssey,0.0,false,NearMint,English,20210127
1,"Cabal Pit",ody,Odyssey,0.0,false,NearMint,Japanese,20200509
1,"Cabal Stronghold",dom,Dominaria,0.0,false,NearMint,English,20200509
4,"Caldera Lake",tmp,Tempest,0.0,false,NearMint,English,20200509
2,"Canopy Vista",bfz,Battle for Zendikar,0.0,false,NearMint,English,20210126
1,"Canopy Vista",bfz,Battle for Zendikar,0.0,false,NearMint,German,20210107
2,"Canyon Slough",akh,Amonkhet,0.0,false,NearMint,English,20210107
2,"Castle Embereth",eld,Throne of Eldraine,0.0,false,NearMint,English,20210127
1,"Castle Garenbrig",eld,Throne of Eldraine,0.0,false,NearMint,English,20210126
1,"Castle Sengir",hml,Homelands,0.0,false,Excellent,English,20180815
1,"Caves of Koilos",apc,Apocalypse,0.0,false,NearMint,French,20200509
2,"Caves of Koilos",ori,Magic Origins,0.0,false,NearMint,English,20200509
1,"Centaur Garden",ody,Odyssey,0.0,false,NearMint,English,20210126
1,"Cephalid Coliseum",ody,Odyssey,0.0,false,NearMint,Italian,20200509
5,"Choked Estuary",soi,Shadows over Innistrad,0.0,false,NearMint,English,20200509
1,"Cinder Barrens",akh,Amonkhet,0.0,false,NearMint,English,20200509
4,"Cinder Barrens",m19,Core Set 2019,0.0,false,NearMint,English,20180815
5,"Cinder Marsh",tmp,Tempest,0.0,false,NearMint,English,20210107
1,"City of Brass",5ed,Fifth Edition,0.0,false,NearMint,French,20200509
1,"City of Brass",5ed,Fifth Edition,0.0,true,NearMint,English,20200509
2,"City of Brass",8ed,Eighth Edition,0.0,false,NearMint,English,20200510
4,"City of Brass",chr,Chronicles,0.0,false,NearMint,English,20200509
1,"City of Brass",chr,Chronicles,0.0,true,NearMint,English,20200712
4,"City of Brass",arn,Arabian Nights,0.0,true,NearMint,English,20200510
4,"City of Traitors",exo,Exodus,0.0,true,NearMint,English,20210117
1,"Clifftop Retreat",dom,Dominaria,0.0,false,NearMint,Spanish,20200509
4,"Clifftop Retreat",isd,Innistrad,0.0,false,NearMint,English,20200531
6,"Cloudpost",mrd,Mirrodin,0.0,false,NearMint,English,20200607
1,"Cloudpost",mrd,Mirrodin,0.0,false,NearMint,Italian,20200509
6,"Cloudpost",mrd,Mirrodin,0.0,true,NearMint,English,20200509
1,"Coral Atoll",vis,Visions,0.0,false,NearMint,French,20200509
1,"Corrupted Crossroads",ogw,Oath of the Gatewatch,0.0,false,NearMint,English,20200509
2,"Cradle of the Accursed",akh,Amonkhet,0.0,false,NearMint,English,20200509
4,"Crumbling Necropolis",e01,Archenemy: Nicol Bolas,0.0,false,NearMint,English,20200509
1,"Crumbling Vestige",ogw,Oath of the Gatewatch,0.0,false,NearMint,English,20180926
3,"Crumbling Vestige",ogw,Oath of the Gatewatch,0.0,true,NearMint,Italian,20200509
