Quantity,Name,ExpansionCode,ExpansionName,PurchasePrice,Foil,Condition,Language,PurchaseDate
2,Accelerated Mutation,scg,Scourge,0.04,False,NearMint,English,2018-07-29
1,Acidic Slime,cmd,Commander 2011,0.28,False,NearMint,English,2018-07-29
2,Adaptive Snapjaw,gtc,Gatecrash,0.12,False,NearMint,English,2018-07-29
1,Aerie Ouphes,eve,Eventide,0.09,False,NearMint,English,2018-07-29
1,Aether Web,tsp,Time Spiral,0.08,False,NearMint,English,2018-07-29
1,Alpine Grizzly,ktk,Khans of Tarkir,0.04,False,NearMint,English,2018-07-29
1,Ambassador Oak,mor,Morningtide,0.05,False,NearMint,English,2018-07-29
1,Ancient Silverback,uds,Urza's Destiny,0.21,False,NearMint,English,2018-07-29
2,Anurid Barkripper,jud,Judgment,0.06,False,NearMint,Italian,2018-07-29
1,Baloth Woodcrasher,zen,Zendikar,0.09,False,NearMint,English,2018-07-29
1,Battlefield Scrounger,jud,Judgment,0.1,False,NearMint,English,2018-07-29
1,Battlegrowth,mrd,Mirrodin,0.06,False,NearMint,English,2018-07-29
2,Beacon Behemoth,con,Conflux,0.09,False,NearMint,English,2018-07-29
2,Beast Hunt,zen,Zendikar,0.07,False,NearMint,English,2018-07-29
1,Bequeathal,exo,Exodus,0.16,False,NearMint,English,2018-07-29
1,Blanchwood Armor,m19,Core Set 2019,0.11,False,NearMint,English,2018-08-18
1,Blinding Fog,xln,Ixalan,0.04,False,NearMint,English,2018-08-19
1,Bloodscent,mrd,Mirrodin,0.11,False,NearMint,English,2018-07-29
1,Bog-Strider Ash,lrw,Lorwyn,0.07,False,NearMint,English,2018-07-29
1,Borderland Ranger,e02,Explorers of Ixalan,0.05,False,NearMint,English,2018-07-29
2,Borderland Ranger,m10,Magic 2010,0.05,False,NearMint,Italian,2018-07-29
1,Bosk Banneret,mor,Morningtide,0.13,False,NearMint,English,2018-07-29
1,Bountiful Harvest,m12,Magic 2012,0.07,False,NearMint,English,2018-07-29
1,Bower Passage,avr,Avacyn Restored,0.11,False,NearMint,English,2018-07-29
1,Bramble Elemental,pc2,Planechase 2012,0.12,False,NearMint,English,2018-07-29
1,Break Asunder,scg,Scourge,0.08,False,NearMint,English,2018-07-29
1,Briarhorn,lrw,Lorwyn,0.12,False,NearMint,English,2018-07-29
1,Briarhorn,ddh,Duel Decks: Ajani vs. Nicol Bolas,0.09,False,NearMint,English,2018-07-29
5,Bristling Boar,m19,Core Set 2019,0.03,False,NearMint,English,2018-08-18
2,Brown Ouphe,ice,Ice Age,0.06,False,NearMint,English,2018-07-29
1,"Budoka Pupil // Ichiga, Who Topples Oaks",bok,Betrayers of Kamigawa,0.11,False,NearMint,English,2018-07-29
1,Canopy Cover,wwk,Worldwake,0.2,False,NearMint,English,2018-07-29
2,Canopy Spider,8ed,Eighth Edition,0.08,False,NearMint,English,2018-07-29
3,Canopy Spider,8ed,Eighth Edition,0.08,False,NearMint,Italian,2018-07-29
1,Canopy Spider,7ed,Seventh Edition,0.05,False,NearMint,Italian,2018-07-29
3,Caravan Vigil,isd,Innistrad,0.1,False,NearMint,English,2018-07-29
1,Carrion Call,som,Scars of Mirrodin,0.1,False,NearMint,English,2018-07-29
4,Centaur Courser,m19,Core Set 2019,0.01,False,NearMint,English,2018-08-18
4,Centaur Rootcaster,jud,Judgment,0.11,False,NearMint,Italian,2018-07-29
1,Centaur Veteran,tor,Torment,0.06,False,NearMint,English,2018-07-29
1,Channel,3ed,Revised Edition,0.24,False,NearMint,English,2018-08-18
3,Charging Rhino,cns,Conspiracy,0.07,False,NearMint,English,2018-07-29
2,Choke,8ed,Eighth Edition,2.71,False,NearMint,English,2018-07-29
1,Chorus of Might,rtr,Return to Ravnica,0.04,False,NearMint,English,2018-07-29
2,Citanul Woodreaders,ddr,Duel Decks: Nissa vs. Ob Nixilis,0.07,False,NearMint,English,2018-07-29
1,Citanul Woodreaders,plc,Planar Chaos,0.09,False,NearMint,English,2018-07-29
2,Civic Wayfinder,rav,Ravnica: City of Guilds,0.09,False,NearMint,English,2018-07-29
1,Cocoon,leg,Legends,0.63,False,NearMint,Italian,2018-08-18
2,Collective Unconscious,8ed,Eighth Edition,0.29,False,NearMint,English,2018-07-29
1,Colossal Dreadmaw,xln,Ixalan,0.03,False,NearMint,English,2018-08-19
4,Colossal Dreadmaw,m19,Core Set 2019,0.03,False,NearMint,English,2018-08-18
2,Colossal Majesty,m19,Core Set 2019,0.15,False,NearMint,English,2018-08-18
1,Commune with Dinosaurs,xln,Ixalan,0.13,False,NearMint,English,2018-08-19
1,Commune with the Gods,ths,Theros,0.15,False,NearMint,English,2018-07-29
1,Compost,uds,Urza's Destiny,0.17,False,NearMint,English,2018-07-29
1,Copperhorn Scout,cn2,Conspiracy: Take the Crown,0.11,False,NearMint,English,2018-07-29
1,Crabapple Cohort,shm,Shadowmoor,0.07,False,NearMint,English,2018-07-29
3,Craw Wurm,3ed,Revised Edition,0.1,False,NearMint,Italian,2018-10-28
5,Craw Wurm,8ed,Eighth Edition,0.07,False,NearMint,English,2018-07-29
