Quantity,Name,ExpansionCode,ExpansionName,PurchasePrice,Foil,Condition,Language,PurchaseDate
3,Mountain,dds,Duel Decks: Mind vs. Might,0.0,False,NearMint,English,2020-05-26
3,Mountain,m11,Magic 2011,0.0,False,NearMint,Italian,2020-05-30
4,Mountain,m11,Magic 2011,0.0,False,NearMint,Spanish,2020-05-30
1,Mountain,ody,Odyssey,0.0,False,NearMint,Italian,2020-07-13
1,Mountain,tmp,Tempest,0.0,False,NearMint,English,2020-05-25
2,Mountain,tmp,Tempest,0.0,True,NearMint,English,2020-05-25
2,Mountain,rtr,Return to Ravnica,0.0,False,NearMint,Italian,2020-05-26
1,Mountain,tmp,Tempest,0.0,False,NearMint,English,2020-05-25
1,Mountain,mmq,Mercadian Masques,0.0,False,NearMint,Italian,2020-05-25
1,Mountain,ths,Theros,0.0,False,NearMint,English,2020-05-26
1,Mountain,ths,Theros,0.0,False,NearMint,Italian,2020-05-25
3,Mountain,c13,Commander 2013,0.0,False,NearMint,Italian,2020-05-25
4,Mountain,lrw,Lorwyn,0.0,False,NearMint,Italian,2020-05-30
3,Mountain,shm,Shadowmoor,0.0,False,NearMint,English,2020-05-26
1,Mountain,shm,Shadowmoor,0.0,False,NearMint,Italian,2020-05-26
1,Mountain,m11,Magic 2011,0.0,False,NearMint,Italian,2020-05-30
3,Mountain,m11,Magic 2011,0.0,False,NearMint,Spanish,2020-05-30
2,Mountain,6ed,Classic Sixth Edition,0.0,True,NearMint,English,2020-05-25
2,Mountain,ala,Shards of Alara,0.0,False,NearMint,Italian,2020-05-26
4,Mountain,tsp,Time Spiral,0.0,False,NearMint,Italian,2020-05-26
1,Mountain,chk,Champions of Kamigawa,0.0,False,NearMint,Italian,2020-05-25
1,Mountain,mbs,Mirrodin Besieged,0.0,False,NearMint,Italian,2020-05-25
4,Mountain,3ed,Revised Edition,0.0,False,NearMint,English,2020-05-30
10,Mountain,3ed,Revised Edition,0.0,True,NearMint,Italian,2020-07-13
2,Mountain,3ed,Revised Edition,0.0,True,NearMint,Spanish,2020-05-30
1,Mountain,tsp,Time Spiral,0.0,False,NearMint,Italian,2020-05-26
2,Mountain,rtr,Return to Ravnica,0.0,False,NearMint,Italian,2020-05-26
2,Mountain,tmp,Tempest,0.0,False,NearMint,English,2020-05-25
2,Mountain,rav,Ravnica: City of Guilds,0.0,False,NearMint,Italian,2020-05-25
1,Mountain,m19,Core Set 2019,0.0,False,NearMint,English,2020-05-26
1,Mountain,ktk,Khans of Tarkir,0.0,False,NearMint,Italian,2020-05-26
2,Mountain,7ed,Seventh Edition,0.0,False,NearMint,Italian,2020-05-25
6,Mountain,2ed,Unlimited Edition,0.0,False,NearMint,English,2020-06-07
1,Mountain,bfz,Battle for Zendikar,0.0,False,NearMint,English,2020-07-13
1,Mountain,roe,Rise of the Eldrazi,0.0,False,NearMint,Italian,2020-05-26
2,Mountain,usg,Urza's Saga,0.0,False,NearMint,English,2020-05-25
2,Mountain,usg,Urza's Saga,0.0,True,NearMint,English,2020-05-25
4,Mountain,ice,Ice Age,0.0,False,NearMint,English,2020-05-25
1,Mountain,nph,New Phyrexia,0.0,False,NearMint,Italian,2020-05-25
1,Mountain,rav,Ravnica: City of Guilds,0.0,False,NearMint,Italian,2020-05-25
2,Mountain,ths,Theros,0.0,False,NearMint,English,2020-05-26
2,Mountain,ths,Theros,0.0,False,NearMint,Italian,2020-05-26
2,Mountain,ths,Theros,0.0,False,NearMint,English,2020-05-26
2,Mountain,mrd,Mirrodin,0.0,False,NearMint,English,2020-05-25
3,Mountain,e01,Archenemy: Nicol Bolas,0.0,False,NearMint,English,2020-05-30
2,Mountain,bfz,Battle for Zendikar,0.0,False,NearMint,English,2020-07-13
1,Mountain,ktk,Khans of Tarkir,0.0,False,NearMint,English,2020-05-26
1,Mountain,ktk,Khans of Tarkir,0.0,False,NearMint,Italian,2020-05-26
4,Mountain,kld,Kaladesh,0.0,False,NearMint,English,2020-05-30
1,Mountain,xln,Ixalan,0.0,False,NearMint,English,2020-05-25
10,Mountain,xln,Ixalan,0.0,False,NearMint,Italian,2020-05-25
1,Mountain,ody,Odyssey,0.0,False,NearMint,English,2020-05-25
1,Mountain,ody,Odyssey,0.0,False,NearMint,Italian,2020-07-13
2,Mountain,ons,Onslaught,0.0,False,NearMint,Italian,2020-05-25
2,Mountain,ons,Onslaught,0.0,True,NearMint,Italian,2020-07-13
3,Mountain,e01,Archenemy: Nicol Bolas,0.0,False,NearMint,English,2020-05-30
1,Mountain,mrd,Mirrodin,0.0,False,NearMint,Italian,2020-05-25
3,Mountain,shm,Shadowmoor,0.0,False,NearMint,English,2020-05-26
1,Mountain,shm,Shadowmoor,0.0,False,NearMint,Italian,2020-05-26
1,Mountain,shm,Shadowmoor,0.0,True,NearMint,Italian,2020-05-26
1,Mountain,som,Scars of Mirrodin,0.0,False,NearMint,Italian,2020-05-30
