Quantity,Name,ExpansionCode,ExpansionName,PurchasePrice,Foil,Condition,Language,PurchaseDate
1,Snow-Covered Swamp,ice,Ice Age,0.0,False,NearMint,English,2020-05-24
1,Swamp,bfz,Battle for Zendikar,0.0,False,NearMint,English,2020-07-13
3,Swamp,akh,Amonkhet,0.0,False,NearMint,English,2020-05-24
2,Swamp,akh,Amonkhet,0.0,False,NearMint,Italian,2020-05-24
1,Swamp,zen,Zendikar,0.0,False,NearMint,English,2020-07-13
4,Swamp,m11,Magic 2011,0.0,False,NearMint,Spanish,2020-05-24
6,Swamp,akh,Amonkhet,0.0,False,NearMint,English,2020-05-24
11,Swamp,akh,Amonkhet,0.0,False,NearMint,Italian,2020-05-24
1,Swamp,7ed,Seventh Edition,0.0,False,NearMint,Italian,2020-05-25
1,Swamp,ktk,Khans of Tarkir,0.0,False,NearMint,English,2020-05-24
1,Swamp,ktk,Khans of Tarkir,0.0,False,NearMint,Italian,2020-05-24
1,Swamp,mir,Mirage,0.0,False,NearMint,French,2020-05-24
2,Swamp,mir,Mirage,0.0,False,NearMint,Spanish,2020-05-24
2,Swamp,ktk,Khans of Tarkir,0.0,False,NearMint,Italian,2020-05-24
2,Swamp,ddq,Duel Decks: Blessed vs. Cursed,0.0,False,NearMint,English,2020-05-25
1,Swamp,ody,Odyssey,0.0,False,NearMint,Italian,2020-05-24
1,Swamp,ddr,Duel Decks: Nissa vs. Ob Nixilis,0.0,False,NearMint,English,2020-05-24
2,Swamp,ddr,Duel Decks: Nissa vs. Ob Nixilis,0.0,False,NearMint,English,2020-05-24
1,Swamp,zen,Zendikar,0.0,False,NearMint,English,2020-07-13
1,Swamp,kld,Kaladesh,0.0,False,NearMint,Spanish,2020-07-13
1,Swamp,8ed,Eighth Edition,0.0,False,NearMint,Italian,2020-05-25
1,Swamp,ody,Odyssey,0.0,False,NearMint,Italian,2020-05-24
2,Swamp,zen,Zendikar,0.0,False,NearMint,English,2020-07-13
1,Swamp,ktk,Khans of Tarkir,0.0,False,NearMint,Italian,2020-05-24
1,Swamp,zen,Zendikar,0.0,False,NearMint,English,2020-07-13
1,Swamp,dtk,Dragons of Tarkir,0.0,False,NearMint,English,2020-05-24
3,Swamp,3ed,Revised Edition,0.0,True,NearMint,Italian,2020-05-25
1,Swamp,3ed,Revised Edition,0.0,True,NearMint,Spanish,2020-05-25
1,Swamp,mrd,Mirrodin,0.0,False,NearMint,English,2020-05-24
1,Swamp,mrd,Mirrodin,0.0,False,NearMint,Italian,2020-05-24
13,Swamp,xln,Ixalan,0.0,False,NearMint,Italian,2020-05-24
4,Swamp,thb,Theros Beyond Death,0.0,False,NearMint,French,2020-05-25
1,Swamp,rav,Ravnica: City of Guilds,0.0,False,NearMint,Italian,2020-05-25
3,Swamp,4ed,Fourth Edition,0.0,False,NearMint,Italian,2020-05-25
