Quantity,Name,ExpansionCode,ExpansionName,PurchasePrice,Foil,Condition,Language,PurchaseDate
6,Abeyance,wth,Weatherlight,0.0,False,NearMint,English,2020-07-19
7,Absolver Thrull,gpt,Guildpact,0.0,False,NearMint,Italian,2018-07-29
1,Abu Ja'far,chr,Chronicles,0.0,False,NearMint,English,2020-06-08
2,Abzan Battle Priest,ktk,Khans of Tarkir,0.0,False,NearMint,Italian,2019-01-12
3,Abzan Battle Priest,ima,Iconic Masters,0.0,False,NearMint,English,2019-01-12
1,Abzan Falconer,ktk,Khans of Tarkir,0.0,False,NearMint,Italian,2019-01-12
1,Abzan Runemark,frf,Fate Reforged,0.0,False,NearMint,Italian,2019-01-11
1,Abzan Skycaptain,frf,Fate Reforged,0.0,False,NearMint,Italian,2019-01-12
1,Accorder Paladin,mbs,Mirrodin Besieged,0.0,False,NearMint,English,2020-06-08
1,Accorder Paladin,mbs,Mirrodin Besieged,0.0,False,NearMint,Italian,2019-01-12
1,Act of Heroism,hou,Hour of Devastation,0.0,False,NearMint,English,2019-01-11
3,Adamant Will,dom,Dominaria,0.0,False,NearMint,English,2019-01-11
4,Adarkar Unicorn,ice,Ice Age,0.0,False,NearMint,English,2020-06-08
1,Adorned Pouncer,hou,Hour of Devastation,0.0,False,NearMint,Italian,2019-01-01
1,Aegis Angel,e01,Archenemy: Nicol Bolas,0.0,False,NearMint,English,2019-01-01
2,Aegis of the Heavens,m19,Core Set 2019,0.0,False,NearMint,English,2018-08-18
3,Aerial Maneuver,gtc,Gatecrash,0.0,False,NearMint,Italian,2019-01-11
4,Aerial Modification,aer,Aether Revolt,0.0,False,NearMint,English,2019-01-11
4,Aerial Responder,kld,Kaladesh,0.0,False,NearMint,Italian,2018-08-15
2,Aerial Responder,e01,Archenemy: Nicol Bolas,0.0,False,NearMint,English,2019-01-02
7,Aeronaut Admiral,aer,Aether Revolt,0.0,False,NearMint,English,2019-01-09
2,Aeronaut Admiral,aer,Aether Revolt,0.0,False,NearMint,Italian,2019-01-09
1,Aether Inspector,aer,Aether Revolt,0.0,False,NearMint,Italian,2019-01-09
5,Affa Protector,ogw,Oath of the Gatewatch,0.0,False,NearMint,Italian,2019-01-02
1,Afterlife,mir,Mirage,0.0,False,NearMint,English,2019-01-11
4,Ainok Bond-Kin,ktk,Khans of Tarkir,0.0,False,NearMint,Italian,2019-01-02
4,Ainok Bond-Kin,ima,Iconic Masters,0.0,False,NearMint,English,2019-01-12
2,Ainok Bond-Kin,ima,Iconic Masters,0.0,True,NearMint,English,2019-01-02
5,Airdrop Aeronauts,aer,Aether Revolt,0.0,False,NearMint,English,2020-06-08
2,Ajani's Mantra,ddh,Duel Decks: Ajani vs. Nicol Bolas,0.0,False,NearMint,Italian,2019-01-11
1,Ajani's Pridemate,m15,Magic 2015,0.0,False,NearMint,Italian,2019-01-12
4,Ajani's Pridemate,war,War of the Spark,0.0,False,NearMint,English,2019-08-05
6,Ajani's Sunstriker,m13,Magic 2013,0.0,False,NearMint,English,2020-06-08
1,Ajani's Sunstriker,m13,Magic 2013,0.0,False,NearMint,Italian,2019-01-01
2,Ajani's Welcome,m19,Core Set 2019,0.0,False,NearMint,English,2018-08-18
1,"Ajani, Adversary of Tyrants",m19,Core Set 2019,0.0,False,NearMint,English,2018-08-18
5,Akroan Jailer,ori,Magic Origins,0.0,False,NearMint,Italian,2019-01-02
1,Akroan Mastiff,jou,Journey into Nyx,0.0,False,NearMint,Italian,2019-01-01
1,Akroan Phalanx,bng,Born of the Gods,0.0,False,NearMint,English,2019-01-12
3,Akroan Skyguard,bng,Born of the Gods,0.0,False,NearMint,English,2019-01-12
1,Akroma's Devoted,lgn,Legions,0.0,False,Excellent,English,2019-01-26
1,Akroma's Vengeance,hop,Planechase,0.0,False,NearMint,French,2019-07-14
6,Akroma's Vengeance,ons,Onslaught,0.0,True,NearMint,English,2020-06-07
1,"Akroma, Angel of Wrath",lgn,Legions,0.0,False,NearMint,English,2020-06-08
1,Akron Legionnaire,chr,Chronicles,0.0,False,NearMint,English,2019-01-09
1,Alabaster Dragon,wth,Weatherlight,0.0,False,NearMint,English,2020-07-20
3,Alabaster Kirin,ktk,Khans of Tarkir,0.0,False,NearMint,Italian,2019-01-09
1,Alabaster Potion,4ed,Fourth Edition,0.0,True,NearMint,Spanish,2019-03-24
4,Alabaster Wall,mmq,Mercadian Masques,0.0,False,NearMint,Italian,2019-01-12
2,Alarum,mir,Mirage,0.0,False,NearMint,Portuguese,2020-06-07
1,Alarum,mir,Mirage,0.0,False,NearMint,Spanish,2020-06-07
4,Alley Evasion,aer,Aether Revolt,0.0,False,NearMint,English,2020-06-07
1,Alley Evasion,aer,Aether Revolt,0.0,False,NearMint,Italian,2019-01-11
2,Alseid of Life's Bounty,thb,Theros Beyond Death,0.0,False,NearMint,French,2020-06-08
1,Altar's Light,mrd,Mirrodin,0.0,False,NearMint,English,2020-06-07
2,Altar's Light,mrd,Mirrodin,0.0,False,NearMint,Italian,2019-01-11
5,Ampryn Tactician,ori,Magic Origins,0.0,False,NearMint,Italian,2019-01-02
1,Amrou Kithkin,leg,Legends,0.0,False,NearMint,English,2018-07-29
2,Amrou Kithkin,4ed,Fourth Edition,0.0,True,NearMint,Spanish,2019-03-24
1,Amrou Scout,mma,Modern Masters,0.0,False,NearMint,Italian,2019-01-01
1,Amrou Seekers,tsp,Time Spiral,0.0,False,NearMint,Italian,2019-01-01
1,Ancestor's Chosen,jud,Judgment,0.0,False,NearMint,English,2018-07-29
1,Ancestor's Chosen,uma,Ultimate Masters,0.0,False,NearMint,English,2019-03-24
1,Angel of Flight Alabaster,isd,Innistrad,0.0,False,NearMint,Italian,2019-01-01
1,Angel of Mercy,10e,Tenth Edition,0.0,False,NearMint,English,2020-06-08
8,Angel of Mercy,ima,Iconic Masters,0.0,False,NearMint,English,2019-01-01
1,Angel of Mercy,ima,Iconic Masters,0.0,True,NearMint,English,2019-01-01
1,Angel of Salvation,fut,Future Sight,0.0,False,NearMint,Japanese,2019-01-12
1,Angel of Vitality,m20,Core Set 2020,0.0,False,NearMint,English,2020-06-08
2,Angel of the Dawn,m19,Core Set 2019,0.0,False,NearMint,English,2018-08-15
1,Angel of the Dire Hour,c14,Commander 2014,0.0,False,NearMint,Italian,2019-01-01
3,Angel of the God-Pharaoh,hou,Hour of Devastation,0.0,False,NearMint,English,2019-01-01
1,Angel's Grace,tsp,Time Spiral,0.0,False,NearMint,English,2020-06-07
1,Angel's Mercy,m10,Magic 2010,0.0,False,NearMint,Italian,2018-07-29
1,Angel's Mercy,avr,Avacyn Restored,0.0,False,NearMint,Italian,2019-01-11
1,Angel's Mercy,m13,Magic 2013,0.0,False,NearMint,English,2019-01-11
1,Angel's Mercy,m13,Magic 2013,0.0,False,NearMint,Italian,2019-01-11
2,Angelfire Crusader,apc,Apocalypse,0.0,False,NearMint,English,2018-07-29
3,Angelic Accord,ima,Iconic Masters,0.0,False,NearMint,English,2019-01-11
2,Angelic Benediction,m13,Magic 2013,0.0,False,NearMint,English,2019-01-11
1,Angelic Blessing,10e,Tenth Edition,0.0,False,NearMint,English,2018-07-29
1,Angelic Blessing,10e,Tenth Edition,0.0,False,NearMint,Italian,2019-01-11
1,Angelic Blessing,s00,Starter 2000,0.0,False,NearMint,English,2019-01-11
1,Angelic Chorus,usg,Urza's Saga,0.0,False,NearMint,English,2019-07-14
1,Angelic Curator,ulg,Urza's Legacy,0.0,False,NearMint,English,2019-01-12
1,Angelic Edict,gtc,Gatecrash,0.0,False,NearMint,Italian,2019-01-11
6,Angelic Exaltation,rna,Ravnica Allegiance,0.0,False,NearMint,English,2020-06-07
1,Angelic Favor,nem,Nemesis,0.0,False,NearMint,English,2020-06-07
3,Angelic Gift,bbd,Battlebond,0.0,False,NearMint,English,2019-01-11
