Quantity,Name,Code,PurchasePrice,Foil,Condition,Language,PurchaseDate
1,"Abandoned Sarcophagus",HOU,0.0,0,0,0,27/9/2020
2,"Abundant Maw",EMN,0.0,0,0,0,31/8/2020
9,"Accorder's Shield",SOM,0.0,0,0,0,11/10/2020
9,"Aegis Automaton",AER,0.0,0,0,0,31/8/2020
1,"Aegis Automaton",AER,0.0,0,0,5,31/8/2020
2,"Aesthir Glider",ALL,0.0,0,0,0,31/8/2020
3,"Aesthir Glider",DOM,0.0,0,0,0,31/8/2020
1,"Aesthir Glider",ALL,0.0,0,0,0,27/9/2020
1,"Aether Spellbomb",MMA,0.0,0,1,4,4/1/2021
8,"Aether Spellbomb",MRD,0.0,0,0,0,11/10/2020
1,"Aether Spellbomb",MRD,0.0,0,0,4,11/10/2020
1,"Aetherflux Reservoir",KLD,0.0,0,0,4,28/9/2020
1,"Aethersphere Harvester",AER,0.0,0,0,0,11/10/2020
1,"Aladdin's Lamp",4ED,0.0,0,0,0,28/9/2020
1,"Aladdin's Lamp",3ED,0.0,0,0,4,28/9/2020
2,"Alchemist's Vial",ORI,0.0,0,0,4,11/10/2020
1,"Alhammarret's Archive",ORI,0.0,0,0,4,28/9/2020
1,"Alloy Myr",NPH,0.0,0,0,0,31/8/2020
8,"Alpha Myr",MRD,0.0,0,0,0,31/8/2020
1,"Alpha Myr",MRD,0.0,0,2,0,31/8/2020
1,"Altar of Dementia",MH1,0.0,0,0,0,27/9/2020
1,"Altar of Dementia",TMP,0.0,0,0,0,27/9/2020
1,"Altar of Dementia",TMP,0.0,0,0,3,27/9/2020
1,"Altar of Dementia",TMP,0.0,0,2,0,27/9/2020
1,"Altar of Dementia",CNS,0.0,0,0,0,27/9/2020
5,"Altar of the Brood",KTK,0.0,0,0,0,27/9/2020
4,"Altar of the Pantheon",THB,0.0,0,0,3,11/10/2020
1,"Amaranthine Wall",DOM,0.0,0,0,0,31/8/2020
1,"Amaranthine Wall",DOM,0.0,0,0,4,31/8/2020
2,"Amber Prison",MIR,0.0,0,0,0,31/1/2021
5,"Amulet of Kroog",4ED,0.0,0,0,0,11/10/2020
1,"Amulet of Safekeeping",M19,0.0,0,0,0,5/1/2021
1,"Amulet of Unmaking",MIR,0.0,0,0,0,28/9/2020
4,"Amulet of Vigor",WWK,0.0,0,0,0,27/9/2020
1,"Angel's Feather",DST,0.0,0,0,4,4/1/2021
1,"Angel's Feather",10E,0.0,0,0,0,4/10/2020
1,"Angel's Feather",10E,0.0,0,0,4,4/10/2020
2,"Angel's Tomb",ORI,0.0,0,0,4,4/10/2020
1,"Animation Module",KLD,0.0,0,0,0,27/9/2020
1,"Ankh of Mishra",6ED,0.0,0,0,0,27/9/2020
1,"Ankh of Mishra",3ED,0.0,0,0,0,27/9/2020
3,"Ankh of Mishra",4ED,0.0,0,0,0,27/9/2020
1,"Ankh of Mishra",4ED,0.0,1,0,4,27/9/2020
3,"Anodet Lurker",5DN,0.0,0,0,0,1/9/2020
1,"Anodet Lurker",5DN,0.0,0,0,4,4/1/2021
2,"Antler Skulkin",EVE,0.0,0,0,4,4/1/2021
4,"Anvil of Bogardan",VIS,0.0,0,0,0,27/9/2020
1,"Anvil of Bogardan",VIS,0.0,0,0,2,27/9/2020
1,"Anvilwrought Raptor",THS,0.0,0,0,4,31/8/2020
1,"Arachnoid",5DN,0.0,0,0,0,31/8/2020
3,"Arcane Encyclopedia",M19,0.0,0,0,0,4/1/2021
1,"Arcane Spyglass",DST,0.0,0,0,0,11/10/2020
3,"Arcane Spyglass",DST,0.0,0,0,4,11/10/2020
5,"Arcbound Bruiser",DST,0.0,0,0,4,4/1/2021
1,"Arcbound Bruiser",DST,0.0,0,1,4,1/9/2020
4,"Arcbound Crusher",DST,0.0,0,0,0,31/8/2020
2,"Arcbound Crusher",DST,0.0,0,0,4,31/8/2020
3,"Arcbound Fiend",DST,0.0,0,0,4,5/10/2020
1,"Arcbound Hybrid",DST,0.0,0,0,0,1/9/2020
4,"Arcbound Hybrid",DST,0.0,0,0,4,1/9/2020
1,"Arcbound Hybrid",DST,0.0,0,3,0,1/9/2020
1,"Arcbound Hybrid",DST,0.0,0,3,4,1/9/2020
2,"Arcbound Hybrid",DST,0.0,0,4,0,1/9/2020
1,"Arcbound Lancer",DST,0.0,0,0,0,31/8/2020
1,"Arcbound Lancer",DST,0.0,0,0,4,31/8/2020
1,"Arcbound Lancer",DST,0.0,0,1,4,31/8/2020
2,"Arcbound Reclaimer",DST,0.0,0,0,4,31/8/2020
1,"Arcbound Slith",DST,0.0,0,0,0,26/7/2020
3,"Arcbound Stinger",DST,0.0,0,0,0,31/8/2020
2,"Arcbound Stinger",DST,0.0,0,0,4,31/8/2020
1,"Arcbound Stinger",DST,0.0,0,3,0,4/1/2021
4,"Arcbound Worker",DST,0.0,0,0,0,31/8/2020
6,"Arcbound Worker",DST,0.0,0,0,4,31/8/2020
17,"Arcbound Worker",DST,0.0,1,0,0,31/8/2020
1,"Arcum's Sleigh",ICE,0.0,0,0,0,4/10/2020
1,"Arcum's Weathervane",ICE,0.0,0,0,4,12/10/2020
1,"Arcum's Whistle",ICE,0.0,0,0,0,4/10/2020
2,"Arena of the Ancients",CHR,0.0,0,0,0,27/9/2020
1,"Argentum Armor",SOM,0.0,0,0,0,11/10/2020
4,"Ark of Blight",SCG,0.0,0,0,0,4/10/2020
1,"Armillary Sphere",CON,0.0,0,0,4,4/1/2021
3,"Armory of Iroas",JOU,0.0,0,0,4,11/10/2020
2,"Artisan of Kozilek",MM2,0.0,0,0,0,31/8/2020
5,"Ashnod's Altar",CHR,0.0,0,0,0,5/10/2020
1,"Ashnod's Battle Gear",ATQ,0.0,0,0,3,4/10/2020
1,"Ashnod's Battle Gear",4ED,0.0,0,0,0,4/10/2020
1,"Ashnod's Battle Gear",4ED,0.0,0,0,5,4/10/2020
1,"Ashnod's Cylix",ALL,0.0,0,0,0,27/9/2020
3,"Ashnod's Transmogrant",CHR,0.0,0,0,0,11/10/2020
2,"Ashnod's Transmogrant",ATQ,0.0,0,0,4,11/10/2020
1,"Assembly-Worker",A25,0.0,0,0,0,31/8/2020
2,"Astrolabe",ALL,0.0,0,0,0,11/10/2020
3,"Astrolabe",ALL,0.0,0,0,0,11/10/2020
5,"Augmenting Automaton",AER,0.0,0,0,0,31/8/2020
8,"Auriok Replica",SOM,0.0,0,0,0,31/8/2020
2,"Auriok Siege Sled",DST,0.0,0,0,0,31/8/2020
3,"Auriok Siege Sled",DST,0.0,0,0,4,31/8/2020
1,"Avarice Totem",5DN,0.0,0,4,0,11/10/2020
1,"Azorius Cluestone",DGM,0.0,0,0,4,11/10/2020
1,"Azorius Cluestone",DGM,0.0,0,0,6,11/10/2020
1,"Azorius Cluestone",DGM,0.0,1,0,6,11/10/2020
4,"Azorius Locket",RNA,0.0,0,0,0,11/10/2020
1,"Banshee's Blade",MRD,0.0,0,0,0,11/10/2020
4,"Banshee's Blade",MRD,0.0,0,0,4,11/10/2020
2,"Barbed Battlegear",SOM,0.0,0,0,0,11/10/2020
6,"Barbed Sextant",ICE,0.0,0,0,0,11/10/2020
1,"Barl's Cage",DRK,0.0,0,0,0,31/1/2021
1,"Barl's Cage",5ED,0.0,0,0,0,5/1/2021
