Quantity,Name,Code,PurchasePrice,Foil,Condition,Language,PurchaseDate
4,"Abnormal Endurance",M19,0.02,0,0,0,18/8/2018
2,"Absorb Vis",DDK,0.07,0,0,0,29/7/2018
1,"Abyssal Horror",USG,0.22,0,0,0,29/7/2018
1,"Acolyte of Xathrid",M10,0.05,0,0,0,29/7/2018
1,"Aphetto Dredging",H09,0.0,0,0,0,29/7/2018
2,"Aphetto Vulture",ONS,0.06,0,0,0,29/7/2018
1,"Aspect of Gorgon",JOU,0.06,0,0,0,29/7/2018
1,"Assassin's Strike",RTR,0.04,0,0,0,29/7/2018
1,"Assassinate",BBD,0.04,0,0,0,29/7/2018
1,"Barter in Blood",AVR,0.08,0,0,0,29/7/2018
3,"Befoul",USG,0.18,0,0,0,18/9/2018
1,"Bereavement",USG,0.14,0,0,0,29/7/2018
2,"Betrayal of Flesh",MRD,0.13,0,0,0,29/7/2018
4,"Black Cat",M15,0.07,0,0,4,29/7/2018
1,"Black Poplar Shaman",LRW,0.12,0,0,0,29/7/2018
2,"Blood Divination",M19,0.04,0,0,0,18/8/2018
2,"Blood Tribute",ZEN,0.43,0,0,0,19/8/2018
1,"Blood-Toll Harpy",THS,0.03,0,0,0,29/7/2018
1,"Bog Imp",DRK,0.12,0,0,0,29/7/2018
3,"Bog Imp",8ED,0.06,0,0,0,29/7/2018
2,"Bog Tatters",ZEN,0.05,0,0,0,29/7/2018
1,"Boggart Birth Rite",LRW,0.09,0,0,0,29/7/2018
4,"Bogstomper",M19,0.02,0,0,0,18/8/2018
1,"Bone Dragon",M19,0.0,0,0,0,18/8/2018
1,"Boneshard Slasher",TOR,0.07,0,0,0,29/7/2018
1,"Brain Gorgers",PLC,0.07,0,0,0,29/7/2018
1,"Brainspoil",RAV,0.12,0,0,0,29/7/2018
1,"Breathstealer",MIR,0.06,0,0,0,29/7/2018
3,"Bubbling Muck",UDS,0.41,0,0,0,18/9/2018
1,"Bubbling Muck",UDS,0.41,0,0,4,18/9/2018
1,"Burden of Greed",DST,0.05,0,0,0,29/7/2018
4,"Cabal Ritual",TOR,0.0,0,0,0,19/8/2018
1,"Cabal Surgeon",TOR,0.08,0,0,0,29/7/2018
1,"Call for Blood",BOK,0.06,0,0,0,29/7/2018
1,"Carrion Beetles",USG,0.07,0,0,0,29/7/2018
1,"Carrion Rats",TOR,0.13,0,0,0,29/7/2018
1,"Carrion Wall",8ED,0.11,0,0,0,29/7/2018
1,"Caustic Crawler",WWK,0.07,0,0,0,29/7/2018
1,"Cavern Lampad",THS,0.05,0,0,0,29/7/2018
5,"Child of Night",M19,0.01,0,0,0,18/8/2018
2,"Chill Haunting",SCG,0.09,0,0,0,29/7/2018
4,"Choking Sands",MIR,0.0,0,0,0,18/9/2018
1,"Chosen of Markov",DKA,0.05,0,0,0,29/7/2018
1,"Cinderhaze Wretch",SHM,0.11,0,0,0,29/7/2018
2,"Clutch of Undeath",SCG,0.06,0,0,0,29/7/2018
5,"Coercion",VIS,0.05,0,0,4,29/7/2018
1,"Coercion",BTD,0.14,0,0,0,29/7/2018
1,"Consume Spirit",DD3_DVD,0.2,0,0,0,29/7/2018
1,"Contagious Nim",SOM,0.11,0,0,0,29/7/2018
1,"Contaminated Bond",10E,0.1,0,0,0,29/7/2018
1,"Contract Killing",XLN,0.03,0,0,0,19/8/2018
1,"Corpse Blockade",GTC,0.07,0,0,0,29/7/2018
1,"Cradle to Grave",PLC,0.08,0,0,0,29/7/2018
3,"Crawling Filth",BOK,0.07,0,0,0,29/7/2018
1,"Cremate",RTR,0.06,0,0,0,29/7/2018
2,"Crown of Suspicion",ONS,0.04,0,0,0,29/7/2018
1,"Cruel Edict",10E,0.29,0,0,6,14/10/2018
1,"Cruel Revival",ONS,0.1,0,0,0,29/7/2018
1,"Crypt Creeper",AVR,0.07,0,0,0,29/7/2018
1,"Crypt Ripper",ZEN,0.06,0,0,0,29/7/2018
4,"Culling the Weak",EXO,0.0,0,0,0,19/8/2018
1,"Dakmor Scorpion",PO2,0.07,0,0,0,29/7/2018
1,"Dark Banishing",ICE,0.08,0,0,0,29/7/2018
4,"Dark Ritual",3ED,0.0,0,0,0,15/8/2018
4,"Dark Ritual",MIR,0.44,0,0,0,18/9/2018
1,"Dash Hopes",PLC,1.09,0,0,0,29/7/2018
1,"Dead Ringers",APC,0.07,0,0,0,29/7/2018
2,"Deadeye Tormentor",XLN,0.03,0,0,4,19/8/2018
1,"Deadly Grub",PLC,0.08,0,0,0,29/7/2018
1,"Death Denied",MM2,0.12,0,0,0,29/7/2018
1,"Death Rattle",FUT,0.1,0,0,0,29/7/2018
1,"Death's Approach",GTC,0.07,0,0,0,29/7/2018
1,"Death's Caress",DKA,0.06,0,0,0,29/7/2018
2,"Death's-Head Buzzard",SCG,0.07,0,0,0,29/7/2018
