Quantity,Name,Code,PurchasePrice,Foil,Condition,Language,PurchaseDate
5,"Abduction",6ED,0.0,0,0,0,23/5/2020
2,"Abduction",WTH,0.0,0,0,0,19/7/2020
2,"Abjure",WTH,0.0,0,0,0,19/7/2020
1,"Aboshan, Cephalid Emperor",ODY,0.0,0,0,3,23/5/2020
2,"Abstruse Interference",OGW,0.0,0,0,4,15/1/2019
3,"Academy Drake",DOM,0.0,0,0,0,26/1/2019
2,"Academy Drake",DOM,0.0,0,0,5,23/5/2020
3,"Academy Journeymage",DOM,0.0,0,0,0,29/7/2019
1,"Academy Researchers",USG,0.0,0,0,0,23/5/2020
3,"Accumulated Knowledge",NMS,0.0,0,0,0,23/5/2020
1,"Accumulated Knowledge",A25,0.0,0,0,0,14/1/2019
2,"Acquire",5DN,0.0,0,0,4,14/1/2019
2,"Advanced Stitchwing",EMN,0.0,0,0,4,30/1/2019
1,"Aeon Chronicler",PLC,0.0,0,0,0,29/1/2019
1,"Aeon Chronicler",PLC,0.0,0,0,4,29/1/2019
1,"Aerial Caravan",MMQ,0.0,0,0,3,19/7/2020
1,"Aerial Formation",JOU,0.0,0,0,4,14/1/2019
1,"Aerial Guide",HOU,0.0,0,0,0,26/1/2019
2,"Aerie Worshippers",BNG,0.0,0,0,4,30/7/2019
4,"Aeronaut Tinkerer",M15,0.0,0,0,4,26/1/2019
1,"Aether Adept",M11,0.0,0,0,0,29/7/2019
2,"Aether Adept",M11,0.0,0,0,4,29/7/2019
1,"Aether Adept",M12,0.0,0,0,4,29/7/2019
2,"Aether Burst",ODY,0.0,0,0,0,4/8/2018
2,"Aether Burst",ODY,0.0,0,0,4,14/1/2019
1,"Aether Meltdown",KLD,0.0,0,0,0,23/5/2020
1,"Aether Storm",HML,0.0,0,0,0,3/1/2021
1,"Aether Swooper",AER,0.0,0,0,4,14/7/2019
1,"Aether Theorist",KLD,0.0,0,0,4,30/1/2019
1,"Aether Tide",EXO,0.0,0,0,0,28/7/2020
1,"Aether Tide",EXO,0.0,0,0,4,13/1/2019
3,"Aether Tradewinds",KLD,0.0,0,0,4,15/1/2019
1,"Aether Tradewinds",WWK,0.0,0,0,0,16/5/2020
6,"Aether Tradewinds",WWK,0.0,0,0,4,15/1/2019
1,"Aether Tunnel",M19,0.0,0,0,0,18/8/2018
1,"Aetherize",DDO,0.0,0,0,0,23/5/2020
1,"Aethersquall Ancient",KLD,0.0,0,0,0,28/1/2019
1,"Aethertide Whale",AER,0.0,0,0,0,28/1/2019
1,"Air Bladder",NMS,0.0,0,0,0,23/5/2020
1,"Air Bladder",NMS,0.0,0,0,4,13/1/2019
1,"Air Elemental",XLN,0.0,0,0,0,14/7/2019
1,"Air Elemental",XLN,0.0,0,0,4,14/7/2019
1,"Air Elemental",3ED,0.0,0,0,0,14/7/2019
2,"Air Elemental",3ED,0.0,1,0,4,31/7/2019
1,"Air Elemental",4ED,0.0,0,0,4,14/7/2019
1,"Air Elemental",6ED,0.0,0,0,4,14/7/2019
1,"Air Elemental",8ED,0.0,0,0,4,14/7/2019
1,"Air Servant",W16,0.0,0,0,4,14/7/2019
1,"Airborne Aid",ONS,0.0,0,0,0,23/5/2020
2,"Alexi's Cloak",PCY,0.0,0,0,0,24/1/2019
2,"Alexi's Cloak",PCY,0.0,0,0,4,4/8/2018
3,"Allied Strategies",PLS,0.0,0,0,4,4/8/2018
1,"Alluring Siren",M12,0.0,0,0,4,27/1/2019
2,"Amass the Components",IMA,0.0,0,0,0,13/1/2019
4,"Ambassador Laquatus",TOR,0.0,0,0,0,26/9/2018
2,"Amoeboid Changeling",H09,0.0,0,0,4,3/8/2018
1,"Amphin Cutthroat",M12,0.0,0,0,4,30/1/2019
3,"Amphin Pathmage",M15,0.0,0,0,4,29/7/2019
6,"Ancestral Knowledge",WTH,0.0,0,0,0,23/5/2020
4,"Ancestral Memories",MIR,0.0,0,0,0,4/1/2021
1,"Ancestral Vision",DD2,0.0,0,0,0,24/3/2019
1,"Anchor to the Aether",ORI,0.0,0,0,4,13/1/2019
1,"Ancient Carp",DTK,0.0,0,0,4,28/1/2019
3,"Ancient Crab",AKH,0.0,0,0,0,23/5/2020
3,"Ancient Crab",AKH,0.0,0,0,4,28/1/2019
2,"Angler Drake",AKH,0.0,0,0,0,26/1/2019
1,"Angler Drake",AKH,0.0,0,0,4,26/1/2019
1,"Animate Artifact",4ED,0.0,0,0,0,5/8/2019
1,"Animate Artifact",4ED,0.0,0,0,5,14/7/2019
3,"Animate Artifact",3ED,0.0,0,0,0,25/3/2019
1,"Animate Artifact",3ED,0.0,1,0,4,5/8/2019
2,"Annex",9ED,0.0,0,0,4,13/1/2019
1,"Annul",THS,0.0,0,0,4,14/1/2019
5,"Annul",MRD,0.0,0,0,0,16/5/2020
12,"Annul",MRD,0.0,1,0,0,23/5/2020
4,"Anticipate",M19,0.0,0,0,0,18/8/2018
2,"Aphetto Alchemist",ONS,0.0,0,0,0,4/1/2021
4,"Aquamoeba",TOR,0.0,0,0,0,4/1/2021
1,"Aquamorph Entity",PLC,0.0,0,0,0,30/1/2019
5,"Aquamorph Entity",PLC,0.0,0,0,4,30/1/2019
1,"Aquamorph Entity",PLC,0.0,1,0,4,30/1/2019
1,"Aquatic Incursion",RIX,0.0,0,0,4,13/1/2019
4,"Aqueous Form",THS,0.0,0,0,4,13/1/2019
1,"Arcane Adaptation",XLN,0.0,0,0,0,13/1/2019
12,"Arcane Denial",ALL,0.0,0,0,0,26/9/2018
1,"Arcane Denial",ALL,0.0,0,0,4,14/7/2019
4,"Arcane Denial",ALL,0.0,0,0,5,25/3/2019
4,"Arcane Denial",ALL,0.0,0,0,0,26/9/2018
1,"Arcane Denial",A25,0.0,0,0,0,14/7/2019
2,"Arcane Flight",DOM,0.0,0,0,0,13/1/2019
3,"Arcane Laboratory",USG,0.0,0,0,0,23/5/2020
3,"Arcane Laboratory",7ED,0.0,0,0,0,14/7/2019
1,"Arcane Laboratory",7ED,0.0,0,0,3,14/7/2019
