Quantity,Name,Code,PurchasePrice,Foil,Condition,Language,PurchaseDate
3,"Forest",INV,0.0,0,0,4,25/5/2020
2,"Forest",2ED,0.0,0,0,0,30/5/2020
1,"Forest",RTR,0.0,0,0,4,25/5/2020
1,"Forest",DDR,0.0,0,0,0,25/5/2020
1,"Forest",ONS,0.0,0,0,4,25/5/2020
2,"Forest",SOI,0.0,0,0,4,25/5/2020
12,"Forest",XLN,0.0,0,0,4,25/5/2020
1,"Forest",PTK,0.0,0,0,0,25/5/2020
1,"Forest",SOI,0.0,0,0,0,25/5/2020
1,"Forest",SOI,0.0,0,0,4,25/5/2020
3,"Forest",BFZ,0.0,0,0,0,13/7/2020
1,"Forest",BFZ,0.0,0,0,4,25/5/2020
1,"Forest",DTK,0.0,0,0,0,25/5/2020
1,"Forest",E01,0.0,0,0,0,25/5/2020
1,"Forest",M19,0.0,0,0,0,25/5/2020
1,"Forest",8ED,0.0,0,0,4,25/5/2020
5,"Forest",8ED,0.0,1,0,0,25/5/2020
1,"Forest",KLD,0.0,0,0,0,25/5/2020
1,"Forest",ORI,0.0,0,0,0,25/5/2020
2,"Forest",ORI,0.0,0,0,4,25/5/2020
2,"Forest",BFZ,0.0,0,0,0,13/7/2020
1,"Forest",M19,0.0,0,0,0,25/5/2020
1,"Forest",BFZ,0.0,0,0,0,13/7/2020
1,"Forest",BFZ,0.0,0,0,6,25/5/2020
3,"Forest",THS,0.0,0,0,0,25/5/2020
2,"Forest",THS,0.0,0,0,4,25/5/2020
1,"Forest",M19,0.0,0,0,0,25/5/2020
1,"Forest",KTK,0.0,0,0,4,25/5/2020
1,"Forest",M15,0.0,0,0,0,25/5/2020
1,"Forest",M15,0.0,1,0,0,25/5/2020
6,"Forest",M11,0.0,0,0,5,25/5/2020
6,"Forest",3ED,0.0,1,0,4,25/5/2020
1,"Forest",3ED,0.0,1,0,5,25/5/2020
1,"Forest",DTK,0.0,0,0,0,25/5/2020
1,"Forest",DTK,0.0,0,0,4,25/5/2020
3,"Forest",THS,0.0,0,0,0,25/5/2020
1,"Forest",THS,0.0,0,0,4,25/5/2020
1,"Forest",M15,0.0,0,0,4,25/5/2020
1,"Forest",ICE,0.0,0,0,0,25/5/2020
2,"Forest",AKH,0.0,0,0,0,25/5/2020
2,"Forest",DDR,0.0,0,0,0,25/5/2020
1,"Forest",CHK,0.0,0,0,4,25/5/2020
3,"Forest",AKH,0.0,0,0,0,25/5/2020
12,"Forest",AKH,0.0,0,0,4,25/5/2020
6,"Forest",M11,0.0,0,0,5,25/5/2020
2,"Forest",BFZ,0.0,0,0,0,13/7/2020
3,"Forest",MRD,0.0,0,0,0,25/5/2020
2,"Forest",MRD,0.0,0,0,4,25/5/2020
1,"Forest",ODY,0.0,0,0,0,25/5/2020
1,"Forest",ORI,0.0,0,0,4,25/5/2020
3,"Forest",M11,0.0,0,0,5,25/5/2020
1,"Forest",XLN,0.0,0,0,0,25/5/2020
1,"Forest",XLN,0.0,1,0,0,25/5/2020
1,"Forest",RAV,0.0,0,0,0,25/5/2020
1,"Forest",DOM,0.0,0,0,5,25/5/2020
1,"Forest",HOU,0.0,0,0,0,25/5/2020
1,"Forest",MMQ,0.0,0,0,4,25/5/2020
1,"Forest",TSP,0.0,0,0,4,25/5/2020
1,"Forest",M19,0.0,0,0,0,25/5/2020
1,"Forest",MRD,0.0,0,0,0,25/5/2020
2,"Forest",MRD,0.0,0,0,4,25/5/2020
1,"Forest",DTK,0.0,0,0,4,25/5/2020
1,"Forest",PO2,0.0,0,0,4,25/5/2020
1,"Forest",MIR,0.0,0,0,2,25/5/2020
2,"Forest",CHK,0.0,0,0,4,25/5/2020
1,"Forest",KTK,0.0,0,0,4,25/5/2020
1,"Forest",7ED,0.0,0,0,0,25/5/2020
2,"Forest",HOU,0.0,0,0,0,25/5/2020
1,"Forest",HOU,0.0,0,0,4,25/5/2020
5,"Forest",AKH,0.0,0,0,0,25/5/2020
7,"Forest",AKH,0.0,0,0,4,25/5/2020
2,"Forest",ONS,0.0,0,0,4,25/5/2020
1,"Forest",ONS,0.0,0,0,4,25/5/2020
1,"Forest",CHK,0.0,0,0,4,25/5/2020
4,"Forest",8ED,0.0,1,0,0,25/5/2020
5,"Forest",XLN,0.0,0,0,4,25/5/2020
2,"Forest",THS,0.0,0,0,0,25/5/2020
1,"Forest",THS,0.0,0,0,4,25/5/2020
2,"Forest",ICE,0.0,0,0,0,25/5/2020
1,"Forest",KTK,0.0,0,0,0,25/5/2020
3,"Forest",KTK,0.0,0,0,4,25/5/2020
2,"Forest",8ED,0.0,0,0,4,25/5/2020
1,"Forest",S00,0.0,0,0,4,25/5/2020
2,"Forest",ICE,0.0,0,0,0,25/5/2020
2,"Forest",BFZ,0.0,0,0,0,13/7/2020
2,"Forest",MRD,0.0,0,0,0,25/5/2020
3,"Forest",MRD,0.0,0,0,4,25/5/2020
1,"Forest",MRD,0.0,0,0,0,25/5/2020
3,"Forest",THS,0.0,0,0,0,25/5/2020
1,"Forest",ODY,0.0,0,0,0,25/5/2020
1,"Forest",8ED,0.0,0,0,4,25/5/2020
3,"Forest",8ED,0.0,1,0,0,25/5/2020
1,"Forest",TMP,0.0,1,0,0,25/5/2020
2,"Forest",M11,0.0,0,0,5,25/5/2020
5,"Forest",KLD,0.0,0,0,0,25/5/2020
6,"Forest",AKH,0.0,0,0,0,25/5/2020
11,"Forest",AKH,0.0,0,0,4,25/5/2020
2,"Forest",MIR,0.0,0,0,2,25/5/2020
3,"Forest",INV,0.0,0,0,4,25/5/2020
