Quantity,Name,Code,PurchasePrice,Foil,Condition,Language,PurchaseDate
4,"Absorb",RNA,0.0,0,0,0,18/7/2020
1,"Absorb",INV,0.0,0,0,0,29/1/2021
1,"Absorb",INV,0.0,0,0,3,29/1/2021
2,"Abzan Ascendancy",KTK,0.0,0,0,0,14/4/2020
1,"Abzan Ascendancy",KTK,0.0,0,0,4,14/4/2020
2,"Abzan Guide",KTK,0.0,0,0,4,14/4/2020
1,"Adriana, Captain of the Guard",CN2,0.0,0,0,0,13/4/2020
2,"Aerial Engineer",M19,0.0,0,0,0,15/8/2018
1,"Aerial Engineer",M19,0.0,0,0,3,20/2/2020
3,"Aeromunculus",RNA,0.0,0,0,0,5/2/2020
2,"Aether Mutation",APC,0.0,0,0,0,29/1/2021
1,"Aethermage's Touch",C13,0.0,0,0,4,13/4/2020
2,"Aethertow",SHM,0.0,0,0,0,13/4/2020
1,"Agent of Masks",MM3,0.0,0,0,0,4/2/2020
1,"Agony Warp",MM2,0.0,0,0,0,13/4/2020
3,"Agony Warp",ALA,0.0,0,0,0,2/2/2020
2,"Agony Warp",MM3,0.0,0,0,0,2/2/2020
1,"Agrus Kos, Wojek Veteran",RAV,0.0,0,0,4,4/2/2020
3,"Ahn-Crop Champion",AKH,0.0,0,0,0,13/4/2020
1,"Ahn-Crop Champion",AKH,0.0,0,0,4,4/2/2020
2,"Akroan Hoplite",THS,0.0,0,0,4,4/2/2020
1,"Alive",DGM,0.0,0,0,4,4/2/2020
2,"Altar of Bone",ICE,0.0,0,0,0,4/2/2020
1,"Angel of Despair",UMA,0.0,0,0,0,4/2/2020
1,"Angelic Captain",BFZ,0.0,0,0,4,4/2/2020
4,"Anurid Brushhopper",JUD,0.0,1,0,0,4/2/2020
4,"Applied Biomancy",RNA,0.0,0,0,0,5/2/2020
1,"Arcades Sabboth",CHR,0.0,0,0,0,5/2/2020
1,"Archon of the Triumvirate",RTR,0.0,1,0,0,18/7/2020
1,"Arlinn Kord",SOI,0.0,0,0,4,2/2/2020
3,"Armored Wolf-Rider",DGM,0.0,0,0,4,4/2/2020
1,"Armored Wolf-Rider",DGM,0.0,0,0,6,13/4/2020
1,"Army Ants",VIS,0.0,0,0,0,29/1/2021
1,"Army Ants",VIS,0.0,0,0,3,4/2/2020
1,"Army Ants",VIS,0.0,0,0,6,4/2/2020
3,"Artful Takedown",GRN,0.0,0,0,0,2/2/2020
1,"Aryel, Knight of Windgrace",DOM,0.0,0,0,5,2/4/2020
1,"Assassin's Trophy",GRN,0.0,0,0,0,5/2/2020
2,"Atarka, World Render",FRF,0.0,0,0,6,13/4/2020
2,"Auger Spree",GK2_RAKDOS,0.0,0,0,0,4/2/2020
3,"Augury Adept",C13,0.0,0,0,0,4/2/2020
1,"Aurelia's Fury",GTC,0.0,0,0,4,4/2/2020
1,"Aurelia, Exemplar of Justice",GRN,0.0,0,0,0,4/2/2020
1,"Authority",HOU,0.0,0,0,0,13/4/2020
2,"Aven Wind Guide",AKH,0.0,0,0,0,2/4/2020
1,"Aven Wind Guide",AKH,0.0,0,0,4,4/2/2020
1,"Ayesha Tanaka",CHR,0.0,0,0,0,8/5/2020
1,"Azorius Aethermage",DIS,0.0,0,0,4,4/2/2020
3,"Azorius Knight-Arbiter",RNA,0.0,0,0,0,4/2/2020
1,"Azorius Ploy",DIS,0.0,0,0,4,4/2/2020
1,"Azorius Skyguard",RNA,0.0,0,0,0,4/2/2020
1,"Baleful Strix",E01,0.0,0,0,0,2/2/2020
1,"Basilica Bell-Haunt",RNA,0.0,0,0,0,4/2/2020
2,"Battlegate Mimic",HOP,0.0,0,0,0,4/2/2020
1,"Battlewise Hoplite",THS,0.0,0,0,0,13/4/2020
1,"Battlewise Hoplite",THS,0.0,0,0,4,10/8/2018
1,"Beacon Bolt",GRN,0.0,0,0,0,4/2/2020
1,"Beamsplitter Mage",GRN,0.0,0,0,0,4/2/2020
1,"Bedeck // Bedazzle",RNA,0.0,0,0,0,4/2/2020
1,"Bedevil",RNA,0.0,0,0,0,4/2/2020
2,"Beetleform Mage",DGM,0.0,0,0,4,5/2/2020
1,"Behemoth Sledge",DDH,0.0,0,0,4,4/2/2020
2,"Behemoth Sledge",ARB,0.0,0,0,4,4/2/2020
2,"Belligerent Brontodon",XLN,0.0,0,0,4,4/2/2020
2,"Benthic Djinn",MIR,0.0,0,0,0,29/1/2021
1,"Bioessence Hydra",WAR,0.0,0,0,0,18/7/2020
1,"Bladewing the Risen",SCG,0.0,0,0,0,4/2/2020
1,"Bladewing the Risen",SCG,0.0,0,0,3,4/2/2020
1,"Bladewing the Risen",IMA,0.0,0,0,0,24/5/2020
1,"Blast of Genius",DGM,0.0,0,0,4,4/2/2020
1,"Blazing Hellhound",ORI,0.0,0,0,4,13/4/2020
3,"Blightning",A25,0.0,0,0,0,4/2/2020
1,"Blind Hunter",GPT,0.0,0,0,4,10/8/2018
1,"Blizzard Specter",IMA,0.0,0,0,0,24/5/2020
1,"Blood Tyrant",E01,0.0,0,0,0,5/2/2020
3,"Bloodhall Priest",EMN,0.0,0,0,0,13/4/2020
2,"Bloodwater Entity",HOU,0.0,0,0,0,4/2/2020
10,"Bloodwater Entity",HOU,0.0,0,0,4,4/2/2020
2,"Boggart Ram-Gang",SHM,0.0,1,0,0,18/7/2020
1,"Bolrac-Clan Crusher",RNA,0.0,0,0,0,19/1/2020
1,"Boltwing Marauder",DTK,0.0,0,0,0,13/4/2020
1,"Borborygmos",GPT,0.0,0,0,4,2/2/2020
1,"Boros Challenger",GRN,0.0,0,0,0,4/2/2020
1,"Boros Guildmage",HOP,0.0,0,0,0,4/2/2020
1,"Branching Bolt",ALA,0.0,0,0,0,18/7/2020
1,"Brawl-Bash Ogre",M19,0.0,0,0,0,15/8/2018
2,"Breathstealer's Crypt",VIS,0.0,0,0,0,18/7/2020
1,"Bred for the Hunt",DGM,0.0,0,0,6,13/4/2020
2,"Bronzebeak Moa",MM3,0.0,0,0,0,4/2/2020
1,"Bronzebeak Moa",DGM,0.0,0,0,6,13/4/2020
2,"Brood Butcher",BFZ,0.0,0,0,0,13/4/2020
1,"Brood Butcher",BFZ,0.0,1,0,0,13/4/2020
1,"Burning-Tree Bloodscale",GPT,0.0,0,0,4,10/8/2018
5,"Cadaverous Bloom",MIR,0.0,0,0,0,2/4/2020
2,"Cadaverous Bloom",MIR,0.0,0,0,5,5/2/2020
1,"Call of the Conclave",MM3,0.0,0,0,4,4/2/2020
2,"Call of the Nightwing",GTC,0.0,0,0,4,2/2/2020
1,"Call to the Feast",XLN,0.0,0,0,0,2/4/2020
2,"Call to the Feast",XLN,0.0,0,0,4,4/2/2020
1,"Captain's Maneuver",APC,0.0,0,0,0,10/8/2018
1,"Captured Sunlight",ARB,0.0,0,0,4,4/2/2020
1,"Carnage Gladiator",DGM,0.0,0,0,0,4/2/2020
1,"Carnage Gladiator",DGM,0.0,0,0,4,4/2/2020
1,"Carnage Gladiator",DGM,0.0,0,0,6,13/4/2020
1,"Carnival // Carnage",RNA,0.0,0,0,0,4/2/2020
1,"Cavern Harpy",PLS,0.0,0,0,0,10/8/2018
1,"Cavern Harpy",PLS,0.0,0,0,6,13/4/2020
2,"Centaur Archer",ICE,0.0,0,0,0,29/1/2021
1,"Centaur Healer",RTR,0.0,0,0,4,4/2/2020
3,"Centaur Peacemaker",GRN,0.0,0,0,0,4/2/2020
1,"Chief of the Scale",KTK,0.0,0,0,4,4/2/2020
1,"Chromium, the Mutable",M19,0.0,0,0,0,15/8/2018
3,"Chronicler of Heroes",THS,0.0,0,0,0,13/4/2020
1,"Chronicler of Heroes",THS,0.0,0,0,4,4/2/2020
1,"Cindervines",RNA,0.0,1,0,0,19/1/2020
2,"Circle of Despair",MIR,0.0,0,0,0,29/1/2021
2,"Circu, Dimir Lobotomist",RAV,0.0,0,0,4,2/2/2020
1,"Clan Guildmage",RNA,0.0,0,0,0,19/1/2020
1,"Cloudblazer",A25,0.0,0,0,4,4/2/2020
1,"Clutch of the Undercity",RAV,0.0,0,0,4,2/2/2020
1,"Coalition Victory",TSB,0.0,0,0,0,29/1/2021
2,"Coiling Oracle",CN2,0.0,0,0,0,5/2/2020
1,"Coiling Oracle",DIS,0.0,0,0,4,10/8/2018
1,"Collision // Colossus",RNA,0.0,0,0,0,2/2/2020
1,"Combine Guildmage",RNA,0.0,0,0,0,5/2/2020
1,"Conclave Cavalier",GRN,0.0,0,0,0,4/2/2020
2,"Conclave Guildmage",GRN,0.0,0,0,0,4/2/2020
1,"Connive // Concoct",GRN,0.0,0,0,0,4/2/2020
1,"Connive // Concoct",GRN,0.0,1,0,0,3/2/2020
2,"Consecrate // Consume",RNA,0.0,0,0,0,5/2/2020
2,"Consign",HOU,0.0,0,0,0,3/2/2020
3,"Consult the Necrosages",RAV,0.0,0,0,0,22/7/2020
3,"Consume Strength",APC,0.0,0,0,0,29/1/2021
1,"Consuming Aberration",GTC,0.0,0,0,6,2/2/2020
3,"Contraband Kingpin",KLD,0.0,0,0,4,2/2/2020
4,"Corpsejack Menace",IMA,0.0,0,0,0,18/7/2020
1,"Crackling Drake",GRN,0.0,0,0,0,4/2/2020
1,"Crime",DIS,0.0,0,0,4,5/2/2020
1,"Cruel Ultimatum",MM3,0.0,0,0,4,5/2/2020
1,"Cruel Ultimatum",E01,0.0,0,0,0,5/2/2020
2,"Cult Guildmage",RNA,0.0,0,0,0,4/2/2020
2,"Cunning Strike",FRF,0.0,0,0,4,13/4/2020
1,"Dakkon Blackblade",CHR,0.0,0,0,0,5/2/2020
5,"Daring Leap",PLS,0.0,0,0,0,29/1/2021
2,"Dark Heart of the Wood",RAV,0.0,0,0,4,5/2/2020
1,"Dark Heart of the Wood",DRK,0.0,0,0,0,5/2/2020
18,"Dark Heart of the Wood",DRK,0.0,0,0,4,5/2/2020
1,"Dark Intimations",AER,0.0,0,0,0,14/4/2020
1,"Dark Intimations",AER,0.0,0,0,5,14/4/2020
1,"Dark Intimations",AER,0.0,1,0,0,5/2/2020
4,"Darkblade Agent",GRN,0.0,0,0,0,2/2/2020
1,"Deadeye Brawler",RIX,0.0,0,0,0,13/4/2020
1,"Deadeye Plunderers",XLN,0.0,0,0,0,13/4/2020
3,"Death Frenzy",KTK,0.0,0,0,4,5/2/2020
1,"Deathcult Rogue",GTC,0.0,0,0,4,3/2/2020
1,"Debt to the Deathless",DGM,0.0,0,0,0,13/4/2020
1,"Debt to the Deathless",DGM,0.0,0,0,4,4/2/2020
1,"Debtors' Knell",GPT,0.0,0,0,0,2/4/2020
2,"Decimator Beetle",AKH,0.0,0,0,0,2/4/2020
3,"Decimator Beetle",AKH,0.0,0,0,4,5/2/2020
1,"Deft Duelist",ALA,0.0,0,0,0,13/4/2020
1,"Delirium",MIR,0.0,0,0,0,29/1/2021
1,"Depose // Deploy",RNA,0.0,0,0,0,4/2/2020
1,"Deputy of Acquittals",DGM,0.0,0,0,0,13/4/2020
1,"Deputy of Acquittals",MM3,0.0,0,0,0,4/2/2020
1,"Deputy of Detention",RNA,0.0,0,0,0,4/2/2020
1,"Desecrator Hag",EVE,0.0,1,0,0,5/2/2020
1,"Despair",HOU,0.0,0,0,0,13/4/2020
1,"Desperate Stand",JOU,0.0,0,0,4,13/4/2020
2,"Destined",AKH,0.0,0,0,0,13/4/2020
1,"Destined",AKH,0.0,0,0,4,5/2/2020
1,"Destined",AKH,0.0,1,0,0,5/2/2020
1,"Destructive Flow",PLS,0.0,0,0,3,5/2/2020
2,"Destructive Revelry",THS,0.0,0,0,0,29/1/2021
4,"Deus of Calamity",DDL,0.0,0,0,0,2/2/2020
1,"Diabolic Vision",ICE,0.0,0,0,0,2/2/2020
1,"Dimir Guildmage",RAV,0.0,0,0,4,3/2/2020
1,"Dimir Spybug",GRN,0.0,0,0,0,2/2/2020
2,"Dinrova Horror",MM3,0.0,0,0,0,2/2/2020
1,"Dire Fleet Captain",XLN,0.0,0,0,0,13/4/2020
1,"Dire Fleet Neckbreaker",RIX,0.0,0,0,4,4/2/2020
3,"Diregraf Captain",DKA,0.0,0,0,0,2/4/2020
1,"Discordant Spirit",MIR,0.0,0,0,0,29/1/2021
1,"Discovery // Dispersal",GRN,0.0,0,0,0,4/2/2020
1,"Disinformation Campaign",GRN,0.0,0,0,0,2/2/2020
2,"Divinity of Pride",MMA,0.0,0,0,0,2/4/2020
1,"Dormant Sliver",PLC,0.0,0,0,0,5/2/2020
1,"Dormant Sliver",PLC,0.0,1,0,0,5/2/2020
1,"Double Cleave",EVE,0.0,0,0,0,4/2/2020
1,"Dovin's Acuity",RNA,0.0,0,0,0,4/2/2020
1,"Down",DGM,0.0,0,0,6,13/4/2020
1,"Draconic Disciple",M19,0.0,0,0,0,19/1/2020
3,"Dracoplasm",TMP,0.0,0,0,0,29/1/2021
1,"Dragonshift",DGM,0.0,0,0,4,4/2/2020
1,"Drain the Well",EVE,0.0,0,0,4,10/8/2018
3,"Drakewing Krasis",GTC,0.0,0,0,4,10/8/2018
1,"Drakewing Krasis",GTC,0.0,0,0,6,13/4/2020
1,"Dreadbore",E01,0.0,0,0,0,4/2/2020
1,"Dreadhorde Butcher",WAR,0.0,0,0,0,18/7/2020
6,"Drogskol Captain",DKA,0.0,0,0,0,2/4/2020
1,"Drown in Filth",DGM,0.0,0,0,0,5/2/2020
1,"Drown in Filth",DGM,0.0,0,0,6,13/4/2020
2,"Dryad Militant",RTR,0.0,0,0,4,4/2/2020
1,"Duergar Hedge-Mage",CMA,0.0,0,0,0,2/4/2020
1,"Duskmantle Guildmage",GTC,0.0,0,0,0,10/8/2018
1,"Duskmantle Guildmage",GTC,0.0,0,0,6,13/4/2020
1,"Ebony Treefolk",APC,0.0,0,0,3,5/2/2020
1,"Edgewalker",SCG,0.0,0,1,4,4/2/2020
1,"Edgewalker",SCG,0.0,0,4,0,4/2/2020
1,"Efreet Weaponmaster",KTK,0.0,0,0,4,14/4/2020
1,"Emberstrike Duo",SHM,0.0,0,0,4,10/8/2018
2,"Emmara, Soul of the Accord",GRN,0.0,0,0,0,4/2/2020
1,"Enduring Scalelord",DTK,0.0,0,0,4,4/2/2020
1,"Energy Arc",ALL,0.0,0,0,0,29/1/2021
1,"Energy Bolt",MIR,0.0,0,0,0,18/7/2020
1,"Enigma Drake",M19,0.0,0,0,0,15/8/2018
1,"Enigma Drake",M19,0.0,1,0,0,15/8/2018
1,"Enigma Drake",AKH,0.0,0,0,0,2/4/2020
1,"Enigmatic Incarnation",THB,0.0,0,0,3,20/2/2020
3,"Enlisted Wurm",ARB,0.0,0,0,4,10/8/2018
4,"Erstwhile Trooper",GRN,0.0,0,0,0,5/2/2020
1,"Esper Sojourners",ARB,0.0,0,0,4,10/8/2018
2,"Essence Backlash",RTR,0.0,0,0,4,4/2/2020
1,"Essence Vortex",ICE,0.0,0,0,0,29/1/2021
1,"Ethereal Absolution",RNA,0.0,0,0,0,4/2/2020
2,"Ethersworn Shieldmage",ARB,0.0,0,0,4,10/8/2018
1,"Etherwrought Page",ARB,0.0,0,0,4,5/2/2020
1,"Executioner's Swing",GTC,0.0,0,0,4,13/4/2020
1,"Expansion // Explosion",GRN,0.0,0,0,0,4/2/2020
1,"Extract from Darkness",EMA,0.0,0,0,0,2/2/2020
2,"Farm",HOU,0.0,0,0,0,4/2/2020
1,"Farm",HOU,0.0,0,0,4,4/2/2020
1,"Fate Transfer",SHM,0.0,0,0,0,10/8/2018
1,"Favor of the Overbeing",EVE,0.0,0,0,0,5/2/2020
1,"Favor of the Overbeing",EVE,0.0,0,0,4,10/8/2018
1,"Feral Animist",DGM,0.0,0,0,4,2/2/2020
3,"Fiery Justice",ICE,0.0,0,0,0,5/2/2020
4,"Final Payment",RNA,0.0,0,0,0,4/2/2020
1,"Find // Finality",GRN,0.0,0,0,0,5/2/2020
1,"Finish",AKH,0.0,0,0,0,13/4/2020
2,"Fire",APC,0.0,0,0,0,29/1/2021
1,"Fire",APC,0.0,1,0,0,4/2/2020
2,"Fire Covenant",ICE,0.0,0,0,0,4/2/2020
1,"Fire at Will",EVE,0.0,0,0,0,4/2/2020
4,"Fire-Field Ogre",ALA,0.0,0,0,4,5/2/2020
2,"Fireblade Artist",RNA,0.0,0,0,0,4/2/2020
1,"Firemane Angel",GK1_BOROS,0.0,0,0,0,13/4/2020
1,"Firemind's Foresight",C15,0.0,0,0,0,4/2/2020
3,"Fires of Yavimaya",INV,0.0,0,0,0,18/7/2020
1,"Fires of Yavimaya",PC2,0.0,0,0,0,18/7/2020
1,"Firesong and Sunspeaker",DOM,0.0,1,0,4,13/4/2020
1,"Fleetfeather Cockatrice",JOU,0.0,0,0,4,13/4/2020
1,"Fleetfoot Panther",PLS,0.0,0,0,4,4/2/2020
1,"Flower // Flourish",GRN,0.0,0,0,0,4/2/2020
3,"Footlight Fiend",RNA,0.0,0,0,0,4/2/2020
5,"Frenetic Efreet",MIR,0.0,0,0,0,18/7/2020
4,"Frenetic Efreet",MIR,0.0,1,0,0,4/2/2020
3,"Frenzied Arynx",RNA,0.0,0,0,0,19/1/2020
3,"Fresh-Faced Recruit",GRN,0.0,0,0,0,4/2/2020
2,"Frilled Mystic",RNA,0.0,0,0,0,5/2/2020
3,"Fulminator Mage",MM2,0.0,0,0,0,4/2/2020
2,"Fumarole",ICE,0.0,0,0,0,29/1/2021
6,"Gaea's Skyfolk",APC,0.0,0,0,0,29/1/2021
4,"Galina's Knight",INV,0.0,0,0,0,29/1/2021
2,"Galloping Lizrog",RNA,0.0,0,0,0,5/2/2020
1,"Garna, the Bloodflame",DOM,0.0,0,0,0,4/2/2020
3,"Garrison Sergeant",GRN,0.0,0,0,0,4/2/2020
4,"Gelectrode",GPT,0.0,0,0,0,22/7/2020
1,"Gelectrode",GPT,0.0,0,0,4,4/2/2020
1,"Gerrard's Command",PLS,0.0,0,0,4,4/2/2020
1,"Gerrard's Verdict",APC,0.0,0,0,0,4/2/2020
4,"Gerrard's Verdict",APC,0.0,0,0,1,18/7/2020
3,"Get the Point",RNA,0.0,0,0,0,4/2/2020
1,"Ghor-Clan Rampager",MM3,0.0,0,0,0,2/2/2020
1,"Giant Solifuge",GPT,0.0,0,0,4,2/2/2020
1,"Giant Trap Door Spider",ICE,0.0,0,0,0,29/1/2021
4,"Giantbaiting",SHM,0.0,0,0,0,18/7/2020
2,"Gift of Orzhova",MM3,0.0,0,0,0,13/4/2020
2,"Giltspire Avenger",CON,0.0,0,0,4,14/4/2020
1,"Give",DGM,0.0,0,0,6,13/4/2020
2,"Glimpse the Unthinkable",IMA,0.0,0,0,0,2/4/2020
2,"Glimpse the Unthinkable",RAV,0.0,0,0,0,2/4/2020
2,"Glowspore Shaman",GRN,0.0,0,0,0,5/2/2020
2,"Goblin Electromancer",DDS,0.0,0,0,0,4/2/2020
4,"Goblin Electromancer",GRN,0.0,0,0,0,4/2/2020
4,"Goblin Electromancer",GRN,0.0,0,0,4,4/2/2020
1,"Goblin Electromancer",GRN,0.0,1,0,0,4/2/2020
2,"Goblin Legionnaire",APC,0.0,0,0,0,29/1/2021
1,"Goblin Outlander",CON,0.0,0,0,4,4/2/2020
2,"Golgari Charm",RTR,0.0,0,0,4,5/2/2020
1,"Golgari Findbroker",GRN,0.0,0,0,0,5/2/2020
1,"Golgari Germination",RAV,0.0,0,0,4,5/2/2020
2,"Golgari Germination",MM3,0.0,0,0,0,5/2/2020
1,"Golgari Guildmage",RAV,0.0,0,0,0,5/2/2020
7,"Golgari Rotwurm",MM3,0.0,0,0,0,13/4/2020
1,"Gorger Wurm",ARB,0.0,0,0,4,10/8/2018
3,"Grasping Thrull",RNA,0.0,0,0,0,4/2/2020
2,"Grazing Kelpie",EVE,0.0,0,0,0,5/2/2020
2,"Grisly Salvage",RTR,0.0,0,0,0,5/2/2020
1,"Grixis Sojourners",ARB,0.0,0,0,4,5/2/2020
2,"Ground Assault",MM3,0.0,0,0,0,13/4/2020
