Quantity,Name,Code,PurchasePrice,Foil,Condition,Language,PurchaseDate
1,"Island",MIR,0.0,0,0,5,24/5/2020
2,"Island",4ED,0.0,0,0,5,24/5/2020
1,"Island",XLN,0.0,0,0,4,24/5/2020
1,"Island",M15,0.0,1,0,4,24/5/2020
1,"Island",BFZ,0.0,0,0,0,13/7/2020
1,"Island",M19,0.0,0,0,0,24/5/2020
5,"Island",M11,0.0,0,0,5,24/5/2020
3,"Island",DDS,0.0,0,0,0,24/5/2020
1,"Island",10E,0.0,0,0,4,24/5/2020
3,"Island",E01,0.0,0,0,0,24/5/2020
1,"Island",M19,0.0,0,0,0,24/5/2020
1,"Island",KTK,0.0,0,0,0,24/5/2020
1,"Island",KTK,0.0,1,0,4,24/5/2020
1,"Island",5ED,0.0,0,0,4,24/5/2020
1,"Island",M19,0.0,0,0,0,24/5/2020
3,"Island",DDS,0.0,0,0,0,24/5/2020
1,"Island",BFZ,0.0,0,0,0,13/7/2020
5,"Island",8ED,0.0,1,0,0,24/5/2020
6,"Island",AKH,0.0,0,0,0,24/5/2020
8,"Island",AKH,0.0,0,0,4,24/5/2020
1,"Island",ICE,0.0,0,0,0,24/5/2020
1,"Island",ICE,0.0,0,0,5,24/5/2020
1,"Island",RAV,0.0,0,0,5,24/5/2020
1,"Island",HOU,0.0,0,0,4,24/5/2020
1,"Island",KTK,0.0,0,0,4,24/5/2020
1,"Island",DOM,0.0,0,0,5,24/5/2020
1,"Island",THS,0.0,0,0,4,24/5/2020
1,"Island",RTR,0.0,0,0,4,24/5/2020
5,"Island",AKH,0.0,0,0,0,24/5/2020
4,"Island",AKH,0.0,0,0,4,24/5/2020
1,"Island",MRD,0.0,0,0,0,24/5/2020
3,"Island",MRD,0.0,0,0,4,24/5/2020
4,"Island",THB,0.0,0,0,3,24/5/2020
1,"Island",THS,0.0,0,0,0,24/5/2020
4,"Island",3ED,0.0,0,0,0,13/7/2020
17,"Island",3ED,0.0,1,0,4,13/7/2020
1,"Island",3ED,0.0,1,0,5,24/5/2020
2,"Island",M11,0.0,0,0,5,24/5/2020
2,"Island",ICE,0.0,0,0,0,24/5/2020
1,"Island",ICE,0.0,0,0,5,24/5/2020
2,"Island",BFZ,0.0,0,0,0,13/7/2020
1,"Island",ICE,0.0,0,0,0,24/5/2020
1,"Island",ICE,0.0,0,0,5,24/5/2020
4,"Island",M11,0.0,0,0,5,24/5/2020
4,"Island",DDS,0.0,0,0,0,24/5/2020
1,"Island",PTK,0.0,0,0,0,24/5/2020
1,"Island",BFZ,0.0,0,0,0,13/7/2020
1,"Island",PO2,0.0,0,0,4,24/5/2020
4,"Island",3ED,0.0,0,0,0,13/7/2020
10,"Island",3ED,0.0,1,0,3,13/7/2020
7,"Island",AKH,0.0,0,0,0,24/5/2020
9,"Island",AKH,0.0,0,0,4,24/5/2020
1,"Island",M15,0.0,0,0,4,24/5/2020
1,"Island",BFZ,0.0,0,0,0,13/7/2020
1,"Island",M15,0.0,0,0,4,24/5/2020
1,"Island",M15,0.0,0,0,6,24/5/2020
2,"Island",M11,0.0,0,0,5,24/5/2020
2,"Island",MRD,0.0,0,0,4,24/5/2020
1,"Island",XLN,0.0,0,0,0,24/5/2020
10,"Island",XLN,0.0,0,0,4,24/5/2020
1,"Island",MRD,0.0,0,0,0,24/5/2020
4,"Island",MRD,0.0,0,0,4,24/5/2020
1,"Island",M14,0.0,0,0,0,24/5/2020
3,"Island",E01,0.0,0,0,0,24/5/2020
1,"Island",XLN,0.0,0,0,0,24/5/2020
8,"Island",XLN,0.0,0,0,4,24/5/2020
4,"Island",MRD,0.0,0,0,4,24/5/2020
2,"Island",KLD,0.0,0,0,0,24/5/2020
1,"Island",THS,0.0,0,0,0,24/5/2020
3,"Island",THS,0.0,0,0,0,24/5/2020
1,"Island",HOU,0.0,0,0,0,24/5/2020
1,"Island",MIR,0.0,0,0,5,24/5/2020
4,"Island",KLD,0.0,0,0,0,24/5/2020
1,"Island",8ED,0.0,1,0,0,24/5/2020
4,"Island",3ED,0.0,0,0,0,13/7/2020
3,"Island",3ED,0.0,1,0,4,13/7/2020
1,"Island",10E,0.0,0,0,0,24/5/2020
10,"Island",RIX,0.0,0,0,4,24/5/2020
1,"Island",M19,0.0,0,0,0,24/5/2020
2,"Island",MIR,0.0,0,0,2,24/5/2020
1,"Island",CHK,0.0,0,0,4,24/5/2020
2,"Island",KLD,0.0,0,0,0,24/5/2020
1,"Island",GNT,0.0,0,0,5,24/5/2020
5,"Island",8ED,0.0,1,0,0,24/5/2020
2,"Snow-Covered Island",ICE,0.0,0,0,0,24/5/2020
