Quantity,Name,Code,PurchasePrice,Foil,Condition,Language,PurchaseDate
3,"Mountain",DDS,0.0,0,0,0,26/5/2020
3,"Mountain",M11,0.0,0,0,4,30/5/2020
4,"Mountain",M11,0.0,0,0,5,30/5/2020
1,"Mountain",TMP,0.0,0,0,0,25/5/2020
2,"Mountain",TMP,0.0,1,0,0,25/5/2020
2,"Mountain",RTR,0.0,0,0,4,26/5/2020
1,"Mountain",TMP,0.0,0,0,0,25/5/2020
1,"Mountain",MMQ,0.0,0,0,4,25/5/2020
1,"Mountain",THS,0.0,0,0,0,26/5/2020
1,"Mountain",THS,0.0,0,0,4,25/5/2020
3,"Mountain",C13,0.0,0,0,4,25/5/2020
4,"Mountain",LRW,0.0,0,0,4,30/5/2020
3,"Mountain",SHM,0.0,0,0,0,26/5/2020
1,"Mountain",SHM,0.0,0,0,4,26/5/2020
1,"Mountain",M11,0.0,0,0,4,30/5/2020
3,"Mountain",M11,0.0,0,0,5,30/5/2020
2,"Mountain",6ED,0.0,1,0,0,25/5/2020
2,"Mountain",ALA,0.0,0,0,4,26/5/2020
4,"Mountain",TSP,0.0,0,0,4,26/5/2020
1,"Mountain",CHK,0.0,0,0,4,25/5/2020
1,"Mountain",MBS,0.0,0,0,4,25/5/2020
4,"Mountain",3ED,0.0,0,0,0,30/5/2020
10,"Mountain",3ED,0.0,1,0,4,13/7/2020
2,"Mountain",3ED,0.0,1,0,5,30/5/2020
1,"Mountain",TSP,0.0,0,0,4,26/5/2020
2,"Mountain",RTR,0.0,0,0,4,26/5/2020
2,"Mountain",TMP,0.0,0,0,0,25/5/2020
2,"Mountain",RAV,0.0,0,0,4,25/5/2020
1,"Mountain",M19,0.0,0,0,0,26/5/2020
1,"Mountain",KTK,0.0,0,0,4,26/5/2020
2,"Mountain",7ED,0.0,0,0,4,25/5/2020
6,"Mountain",2ED,0.0,0,0,0,7/6/2020
1,"Mountain",BFZ,0.0,0,0,0,13/7/2020
1,"Mountain",ROE,0.0,0,0,4,26/5/2020
2,"Mountain",USG,0.0,0,0,0,25/5/2020
2,"Mountain",USG,0.0,1,0,0,25/5/2020
4,"Mountain",ICE,0.0,0,0,0,25/5/2020
1,"Mountain",NPH,0.0,0,0,4,25/5/2020
1,"Mountain",RAV,0.0,0,0,4,25/5/2020
2,"Mountain",THS,0.0,0,0,0,26/5/2020
2,"Mountain",THS,0.0,0,0,4,26/5/2020
2,"Mountain",THS,0.0,0,0,0,26/5/2020
2,"Mountain",MRD,0.0,0,0,0,25/5/2020
3,"Mountain",E01,0.0,0,0,0,30/5/2020
2,"Mountain",BFZ,0.0,0,0,0,13/7/2020
1,"Mountain",KTK,0.0,0,0,0,26/5/2020
1,"Mountain",KTK,0.0,0,0,4,26/5/2020
4,"Mountain",KLD,0.0,0,0,0,30/5/2020
1,"Mountain",XLN,0.0,0,0,0,25/5/2020
10,"Mountain",XLN,0.0,0,0,4,25/5/2020
1,"Mountain",ODY,0.0,0,0,0,25/5/2020
2,"Mountain",ONS,0.0,0,0,4,25/5/2020
2,"Mountain",ONS,0.0,1,0,4,13/7/2020
3,"Mountain",E01,0.0,0,0,0,30/5/2020
1,"Mountain",MRD,0.0,0,0,4,25/5/2020
3,"Mountain",SHM,0.0,0,0,0,26/5/2020
1,"Mountain",SHM,0.0,0,0,4,26/5/2020
1,"Mountain",SHM,0.0,1,0,4,26/5/2020
1,"Mountain",SOM,0.0,0,0,4,30/5/2020
2,"Mountain",M10,0.0,0,0,0,25/5/2020
1,"Mountain",M10,0.0,0,0,4,25/5/2020
1,"Mountain",2ED,0.0,0,0,0,7/6/2020
11,"Mountain",AKH,0.0,0,0,0,30/5/2020
8,"Mountain",AKH,0.0,0,0,4,30/5/2020
