Quantity,Name,Code,PurchasePrice,Foil,Condition,Language,PurchaseDate
2,"Abandoned Outpost",ODY,0.0,0,0,0,26/1/2021
1,"Abandoned Outpost",ODY,0.0,0,0,3,9/5/2020
1,"Abandoned Outpost",ODY,0.0,0,0,6,9/5/2020
2,"Adarkar Wastes",5ED,0.0,0,0,0,9/5/2020
2,"Adarkar Wastes",6ED,0.0,0,0,0,9/5/2020
1,"Adarkar Wastes",6ED,0.0,1,0,0,12/7/2020
5,"Adarkar Wastes",ICE,0.0,0,0,0,9/5/2020
1,"An-Havva Township",HML,0.0,0,2,0,15/8/2018
8,"Ancient Den",MRD,0.0,0,0,0,7/6/2020
1,"Ancient Spring",INV,0.0,0,0,0,9/5/2020
3,"Ancient Tomb",TMP,0.0,0,0,0,9/5/2020
2,"Ancient Tomb",TMP,0.0,1,0,0,13/7/2020
4,"Arcane Sanctum",ALA,0.0,0,0,0,12/7/2020
1,"Archaeological Dig",INV,0.0,0,0,0,17/1/2021
1,"Arctic Flats",CSP,0.0,0,0,4,9/5/2020
1,"Arena",TSB,0.0,0,0,0,9/5/2020
1,"Azorius Chancery",DIS,0.0,0,0,4,15/8/2018
1,"Azorius Chancery",IMA,0.0,0,0,0,9/5/2020
2,"Azorius Guildgate",DGM,0.0,0,0,4,9/5/2020
7,"Azorius Guildgate",RTR,0.0,0,0,4,9/5/2020
3,"Azorius Guildgate",RNA,0.0,0,0,0,9/5/2020
7,"Azorius Guildgate",RNA,0.0,0,0,0,9/5/2020
4,"Bad River",MIR,0.0,0,0,0,17/1/2021
4,"Balduvian Trading Post",ALL,0.0,0,0,0,9/5/2020
1,"Balduvian Trading Post",ALL,0.0,0,0,1,9/5/2020
1,"Barbarian Ring",ODY,0.0,0,0,3,9/5/2020
1,"Barbarian Ring",ODY,0.0,0,0,4,15/8/2018
1,"Barren Moor",ONS,0.0,0,0,0,9/5/2020
1,"Battlefield Forge",ORI,0.0,0,0,4,9/5/2020
3,"Bayou",2ED,0.0,1,0,0,9/5/2020
