Quantity,Name,Code,PurchasePrice,Foil,Condition,Language,PurchaseDate
1,"Plains",7ED,0.0,0,0,0,24/5/2020
2,"Plains",KLD,0.0,0,0,0,24/5/2020
1,"Plains",4ED,0.0,0,0,0,24/5/2020
2,"Plains",4ED,0.0,0,0,4,24/5/2020
11,"Plains",AKH,0.0,0,0,0,24/5/2020
8,"Plains",AKH,0.0,0,0,4,24/5/2020
1,"Plains",PO2,0.0,0,0,4,24/5/2020
2,"Plains",BFZ,0.0,0,0,0,13/7/2020
2,"Plains",8ED,0.0,1,0,0,24/5/2020
1,"Plains",HOU,0.0,0,0,0,24/5/2020
1,"Plains",MRD,0.0,0,0,0,24/5/2020
1,"Plains",8ED,0.0,0,0,0,24/5/2020
5,"Plains",8ED,0.0,1,0,0,24/5/2020
11,"Plains",3ED,0.0,1,0,5,24/5/2020
1,"Plains",THS,0.0,0,0,0,24/5/2020
1,"Plains",THS,0.0,0,0,4,24/5/2020
4,"Plains",KLD,0.0,0,0,0,24/5/2020
3,"Plains",2ED,0.0,0,0,0,24/5/2020
1,"Plains",M19,0.0,0,0,0,24/5/2020
1,"Plains",KTK,0.0,0,0,0,24/5/2020
10,"Plains",AKH,0.0,0,0,0,24/5/2020
8,"Plains",AKH,0.0,0,0,4,24/5/2020
3,"Plains",MIR,0.0,0,0,2,24/5/2020
2,"Plains",MIR,0.0,0,0,5,24/5/2020
1,"Plains",ICE,0.0,0,0,0,24/5/2020
2,"Plains",ICE,0.0,0,0,5,24/5/2020
1,"Plains",6ED,0.0,0,0,4,24/5/2020
2,"Plains",ZEN,0.0,0,0,0,13/7/2020
2,"Plains",KLD,0.0,0,0,0,24/5/2020
1,"Plains",KLD,0.0,1,0,0,24/5/2020
5,"Plains",M11,0.0,0,0,5,24/5/2020
1,"Plains",NPH,0.0,0,0,0,24/5/2020
2,"Plains",XLN,0.0,0,0,0,24/5/2020
6,"Plains",XLN,0.0,0,0,4,24/5/2020
1,"Plains",7ED,0.0,0,0,0,24/5/2020
1,"Plains",6ED,0.0,0,0,4,24/5/2020
3,"Plains",ICE,0.0,0,0,0,24/5/2020
1,"Plains",ICE,0.0,0,2,4,24/5/2020
1,"Plains",PTK,0.0,0,0,0,24/5/2020
1,"Plains",AVR,0.0,0,0,0,24/5/2020
1,"Plains",KTK,0.0,0,0,4,24/5/2020
1,"Plains",3ED,0.0,1,0,1,24/5/2020
1,"Plains",3ED,0.0,1,0,4,24/5/2020
3,"Plains",E01,0.0,0,0,0,24/5/2020
2,"Plains",INV,0.0,0,0,4,24/5/2020
3,"Plains",ODY,0.0,0,0,4,24/5/2020
1,"Plains",DOM,0.0,0,0,0,24/5/2020
9,"Plains",AKH,0.0,0,0,0,24/5/2020
3,"Plains",AKH,0.0,0,0,4,24/5/2020
2,"Plains",XLN,0.0,0,0,0,13/7/2020
15,"Plains",XLN,0.0,0,0,4,24/5/2020
4,"Plains",8ED,0.0,1,0,0,24/5/2020
1,"Plains",M10,0.0,0,0,0,24/5/2020
1,"Plains",XLN,0.0,1,0,0,24/5/2020
2,"Plains",ICE,0.0,0,0,0,24/5/2020
2,"Plains",ICE,0.0,0,0,5,24/5/2020
2,"Plains",ICE,0.0,0,1,0,24/5/2020
1,"Plains",MRD,0.0,0,0,0,24/5/2020
2,"Plains",ZEN,0.0,0,0,0,13/7/2020
1,"Plains",M19,0.0,0,0,0,24/5/2020
3,"Plains",USG,0.0,0,0,0,24/5/2020
1,"Plains",RIX,0.0,0,0,0,24/5/2020
10,"Plains",RIX,0.0,0,0,4,24/5/2020
2,"Plains",4ED,0.0,0,0,4,24/5/2020
1,"Plains",M15,0.0,0,0,4,24/5/2020
1,"Plains",M15,0.0,0,0,4,24/5/2020
3,"Plains",DOM,0.0,0,0,0,24/5/2020
1,"Plains",MIR,0.0,0,0,4,24/5/2020
1,"Plains",M19,0.0,0,0,0,24/5/2020
3,"Plains",MIR,0.0,0,0,2,24/5/2020
1,"Plains",MIR,0.0,0,0,4,24/5/2020
2,"Plains",MIR,0.0,0,0,5,24/5/2020
1,"Plains",INV,0.0,0,0,4,24/5/2020
2,"Plains",DOM,0.0,0,0,0,24/5/2020
3,"Plains",E01,0.0,0,0,0,24/5/2020
1,"Plains",THB,0.0,1,0,0,24/5/2020
1,"Plains",BFZ,0.0,0,0,0,13/7/2020
1,"Plains",ISD,0.0,0,0,0,24/5/2020
1,"Plains",ODY,0.0,0,0,4,24/5/2020
2,"Plains",THS,0.0,0,0,0,24/5/2020
1,"Plains",THS,0.0,0,0,4,24/5/2020
5,"Plains",M11,0.0,0,0,5,24/5/2020
3,"Plains",DOM,0.0,0,0,0,24/5/2020
1,"Plains",BFZ,0.0,0,0,0,13/7/2020
1,"Plains",9ED,0.0,1,0,0,24/5/2020
1,"Plains",PO2,0.0,0,0,4,24/5/2020
1,"Plains",ZEN,0.0,0,0,0,13/7/2020
1,"Plains",BFZ,0.0,0,0,0,13/7/2020
1,"Plains",INV,0.0,0,0,4,24/5/2020
1,"Plains",ODY,0.0,0,0,0,24/5/2020
1,"Plains",BFZ,0.0,0,0,0,13/7/2020
1,"Plains",M15,0.0,0,0,0,24/5/2020
2,"Plains",M15,0.0,0,0,4,24/5/2020
1,"Plains",8ED,0.0,0,0,4,24/5/2020
8,"Plains",8ED,0.0,1,0,0,24/5/2020
1,"Plains",HOU,0.0,0,0,4,24/5/2020
1,"Plains",MIR,0.0,0,0,4,24/5/2020
7,"Plains",M11,0.0,0,0,5,24/5/2020
1,"Plains",MMQ,0.0,0,0,0,24/5/2020
1,"Plains",THS,0.0,0,0,0,24/5/2020
3,"Plains",M11,0.0,0,0,5,24/5/2020
1,"Plains",M19,0.0,0,0,0,24/5/2020
1,"Plains",M19,0.0,1,0,0,24/5/2020
2,"Plains",3ED,0.0,1,0,4,24/5/2020
1,"Snow-Covered Plains",ICE,0.0,0,0,0,24/5/2020
1,"Snow-Covered Plains",ICE,0.0,0,0,5,24/5/2020
