Quantity,Name,Code,PurchasePrice,Foil,Condition,Language,PurchaseDate
4,"Abbot of Keral Keep",ORI,0.0,0,0,0,29/3/2020
2,"About Face",ULG,0.0,0,0,4,28/7/2018
4,"Abrade",HOU,0.0,0,0,0,12/7/2020
9,"Accelerate",TOR,0.0,0,0,0,25/1/2021
4,"Acceptable Losses",ODY,0.0,0,0,0,24/1/2021
1,"Acidic Soil",USG,0.0,0,0,0,28/7/2018
2,"Act of Aggression",NPH,0.0,0,0,0,29/3/2020
4,"Act of Treason",RNA,0.0,0,0,0,15/3/2020
1,"Act of Treason",KTK,0.0,0,0,6,4/11/2018
1,"Act of Treason",KTK,0.0,1,0,4,1/11/2018
3,"Act of Treason",M19,0.0,0,0,0,19/8/2018
2,"Active Volcano",LEG,0.0,0,0,0,8/5/2020
22,"Active Volcano",LEG,0.0,0,0,4,8/5/2020
1,"Active Volcano",CHR,0.0,0,0,0,25/1/2021
1,"Aerathi Berserker",LEG,0.0,0,0,0,8/5/2020
3,"Aerathi Berserker",LEG,0.0,0,0,4,8/5/2020
3,"Aether Charge",ONS,0.0,0,0,0,25/1/2021
1,"Aether Charge",ONS,0.0,0,0,4,28/7/2018
2,"Aether Chaser",AER,0.0,0,0,4,4/3/2019
2,"Aether Flash",6ED,0.0,0,0,0,19/4/2020
1,"Aether Membrane",PLC,0.0,0,0,0,24/1/2021
1,"Aether Membrane",PLC,0.0,1,0,0,31/10/2018
4,"Aftershock",TMP,0.0,0,0,0,28/7/2018
1,"Aftershock",TMP,0.0,0,0,4,24/2/2019
5,"Agent of Stromgald",ALL,0.0,0,0,0,24/5/2020
1,"Agent of Stromgald",ALL,0.0,0,0,0,25/1/2021
2,"Aggravated Assault",ONS,0.0,0,0,0,25/1/2021
1,"Agility",MIR,0.0,0,0,2,24/5/2020
3,"Ahn-Crop Crasher",AKH,0.0,0,0,0,1/11/2018
1,"Ahn-Crop Crasher",AKH,0.0,0,0,4,1/11/2018
1,"Ahn-Crop Invader",WAR,0.0,0,0,0,23/3/2020
1,"Airdrop Condor",ONS,0.0,0,0,0,25/1/2021
1,"Akki Blizzard-Herder",BOK,0.0,0,0,4,28/7/2018
1,"Akki Coalflinger",DD3_EVG,0.0,0,0,0,28/7/2018
1,"Akki Lavarunner",CHK,0.0,0,0,0,24/5/2020
1,"Akki Rockspeaker",CHK,0.0,0,3,4,6/4/2020
1,"Akki Underling",SOK,0.0,0,0,0,3/11/2018
3,"Akki Underling",SOK,0.0,0,0,4,25/9/2018
1,"Akoum Firebird",BFZ,0.0,0,0,0,24/5/2020
1,"Akoum Firebird",BFZ,0.0,0,0,4,3/3/2019
3,"Akoum Hellkite",BFZ,0.0,0,0,0,5/11/2018
1,"Akoum Hellkite",BFZ,0.0,0,0,6,5/11/2018
1,"Aladdin",ARN,0.0,0,0,4,28/7/2018
4,"Alchemist's Greeting",C19,0.0,0,0,0,22/3/2020
1,"Ali Baba",ARN,0.0,0,0,4,28/7/2018
1,"Ali Baba",4ED,0.0,0,0,0,17/9/2018
1,"Ali from Cairo",ARN,0.0,0,0,0,12/7/2020
1,"Aliban's Tower",HML,0.0,0,0,0,17/9/2018
1,"Alpha Brawl",DKA,0.0,0,0,0,24/5/2020
1,"Alpine Moon",M19,0.0,0,0,0,19/8/2018
1,"Ambush",HML,0.0,0,1,0,24/2/2019
1,"Ambush Party",5ED,0.0,0,0,4,24/2/2019
1,"Ambush Party",HML,0.0,0,0,0,17/9/2018
1,"Amok",STH,0.0,0,0,4,28/7/2018
5,"Amplifire",RNA,0.0,0,0,0,15/3/2020
1,"Anaba Ancestor",HML,0.0,0,0,4,24/2/2019
1,"Anaba Bodyguard",HML,0.0,0,0,0,17/9/2018
3,"Anaba Bodyguard",10E,0.0,0,0,4,28/7/2018
1,"Anaba Shaman",HML,0.0,0,0,0,17/9/2018
3,"Anaba Shaman",8ED,0.0,0,0,4,28/7/2018
2,"Anaba Spirit Crafter",HML,0.0,0,0,0,18/7/2020
3,"Anarchist",ODY,0.0,0,0,0,24/1/2021
1,"Anarchist",ODY,0.0,0,0,4,17/9/2018
1,"Anarchist",9ED,0.0,0,0,4,3/11/2018
5,"Anarchist",EXO,0.0,0,0,0,1/3/2021
3,"Anarchy",ICE,0.0,0,0,0,20/4/2020
1,"Anarchy",ICE,0.0,0,0,4,24/2/2019
2,"Anax, Hardened in the Forge",THB,0.0,0,0,3,15/3/2020
1,"Anax, Hardened in the Forge",PTHB,0.0,0,0,3,22/3/2020
1,"Ancient Grudge",TSP,0.0,0,0,0,24/5/2020
1,"Ancient Grudge",TSP,0.0,0,0,4,30/10/2018
3,"Ancient Hydra",NMS,0.0,0,0,0,24/5/2020
1,"Ancient Hydra",NMS,0.0,0,0,3,19/4/2020
5,"Ancient Kavu",INV,0.0,0,0,0,22/2/2021
1,"Ancient Kavu",INV,0.0,0,1,4,28/7/2018
1,"Ancient Runes",TMP,0.0,0,0,0,25/1/2021
1,"Ancient Runes",TMP,0.0,0,0,4,28/7/2018
1,"Anger",UMA,0.0,0,0,0,4/3/2019
1,"Anger",JUD,0.0,0,0,4,29/7/2018
1,"Anger of the Gods",IMA,0.0,0,0,0,24/5/2020
2,"Anje's Ravager",C19,0.0,0,0,0,22/3/2020
1,"Antagonism",USG,0.0,0,0,0,24/2/2019
1,"Apex of Power",M19,0.0,0,0,0,18/9/2018
2,"Apex of Power",M19,0.0,0,0,4,25/9/2018
4,"Apocalypse",TMP,0.0,0,0,0,19/4/2020
1,"Apocalypse",TMP,0.0,0,0,1,19/4/2020
1,"Apocalypse",TMP,0.0,0,0,4,24/2/2019
4,"Arc Lightning",USG,0.0,0,0,0,28/7/2018
1,"Arc Lightning",KTK,0.0,0,0,3,29/3/2020
1,"Arc Mage",NMS,0.0,0,0,0,24/5/2020
1,"Arc Mage",NMS,0.0,0,0,3,19/4/2020
1,"Arc Runner",M11,0.0,0,0,0,1/4/2020
2,"Arc Trail",SOM,0.0,0,0,0,7/6/2020
3,"Arcane Teachings",JUD,0.0,0,0,4,3/11/2018
4,"Arcbond",FRF,0.0,0,0,0,12/7/2020
1,"Archwing Dragon",AVR,0.0,0,0,0,24/5/2020
3,"Arclight Phoenix",GRN,0.0,0,0,0,12/5/2020
1,"Arena Trickster",THB,0.0,0,0,0,24/1/2021
4,"Arena Trickster",THB,0.0,0,0,3,15/3/2020
1,"Arms Dealer",MMQ,0.0,0,0,0,24/2/2019
1,"Arrow Storm",KTK,0.0,0,0,6,4/11/2018
4,"Artillerize",NPH,0.0,0,0,0,29/3/2020
5,"Ash Zealot",RTR,0.0,0,0,0,31/5/2020
2,"Ashcloud Phoenix",KTK,0.0,0,0,0,24/5/2020
1,"Ashcloud Phoenix",KTK,0.0,0,0,4,3/3/2019
2,"Ashen Firebeast",ODY,0.0,0,0,0,19/4/2020
4,"Aspect of Manticore",THB,0.0,0,0,3,15/3/2020
4,"Assembled Alphas",EMN,0.0,0,0,0,1/11/2018
1,"Assquatch",UNH,0.0,0,0,0,22/2/2021
1,"Atog",MRD,0.0,0,0,0,27/4/2020
2,"Atog",5ED,0.0,0,0,0,25/1/2021
7,"Atog",3ED,0.0,0,0,0,28/7/2018
4,"Atog",3ED,0.0,1,0,1,23/2/2019
1,"Atog",3ED,0.0,1,0,3,17/3/2019
16,"Atog",3ED,0.0,1,0,4,8/5/2020
4,"Avacyn's Judgment",C19,0.0,0,0,0,22/3/2020
1,"Avacyn's Judgment",SOI,0.0,0,0,0,22/3/2020
4,"Avalanche",ICE,0.0,0,0,0,24/3/2019
4,"Avalanche Riders",ULG,0.0,0,0,4,28/7/2018
2,"Avarax",ONS,0.0,0,0,0,25/1/2021
1,"Avatar of Fury",PCY,0.0,0,0,0,19/4/2020
2,"Avatar of Fury",PCY,0.0,0,0,3,19/4/2020
1,"Awe for the Guilds",DGM,0.0,0,0,4,1/11/2018
1,"Awe for the Guilds",DGM,0.0,0,0,6,3/3/2019
1,"Backdraft",LEG,0.0,0,0,0,8/5/2020
4,"Backdraft",LEG,0.0,0,0,4,8/5/2020
2,"Backdraft Hellkite",C19,0.0,0,0,0,22/3/2020
1,"Balduvian Barbarians",7ED,0.0,0,0,4,17/9/2018
8,"Balduvian Barbarians",ICE,0.0,0,0,0,3/5/2020
3,"Balduvian Barbarians",6ED,0.0,0,0,4,2/11/2018
5,"Balduvian Horde",ALL,0.0,0,0,0,25/1/2021
1,"Balduvian Horde",ALL,0.0,0,0,3,17/3/2019
1,"Balduvian Horde",6ED,0.0,0,0,0,24/5/2020
4,"Balduvian Horde",A25,0.0,0,0,0,28/3/2020
1,"Balduvian Horde",BTD,0.0,0,0,0,19/4/2020
1,"Balduvian Rage",CSP,0.0,0,0,0,30/3/2020
3,"Balduvian War-Makers",ALL,0.0,0,0,0,24/5/2020
5,"Balduvian War-Makers",ALL,0.0,0,0,0,24/2/2019
