Quantity,Name,Code,PurchasePrice,Foil,Condition,Language,PurchaseDate
6,"Abeyance",WTH,0.0,0,0,0,19/7/2020
7,"Absolver Thrull",GPT,0.0,0,0,4,29/7/2018
1,"Abu Ja'far",CHR,0.0,0,0,0,8/6/2020
2,"Abzan Battle Priest",KTK,0.0,0,0,4,12/1/2019
3,"Abzan Battle Priest",IMA,0.0,0,0,0,12/1/2019
1,"Abzan Falconer",KTK,0.0,0,0,4,12/1/2019
1,"Abzan Runemark",FRF,0.0,0,0,4,11/1/2019
1,"Abzan Skycaptain",FRF,0.0,0,0,4,12/1/2019
1,"Accorder Paladin",MBS,0.0,0,0,0,8/6/2020
1,"Accorder Paladin",MBS,0.0,0,0,4,12/1/2019
1,"Act of Heroism",HOU,0.0,0,0,0,11/1/2019
3,"Adamant Will",DOM,0.0,0,0,0,11/1/2019
4,"Adarkar Unicorn",ICE,0.0,0,0,0,8/6/2020
1,"Adorned Pouncer",HOU,0.0,0,0,4,1/1/2019
1,"Aegis Angel",E01,0.0,0,0,0,1/1/2019
2,"Aegis of the Heavens",M19,0.0,0,0,0,18/8/2018
3,"Aerial Maneuver",GTC,0.0,0,0,4,11/1/2019
4,"Aerial Modification",AER,0.0,0,0,0,11/1/2019
4,"Aerial Responder",KLD,0.0,0,0,4,15/8/2018
2,"Aerial Responder",E01,0.0,0,0,0,2/1/2019
7,"Aeronaut Admiral",AER,0.0,0,0,0,9/1/2019
2,"Aeronaut Admiral",AER,0.0,0,0,4,9/1/2019
1,"Aether Inspector",AER,0.0,0,0,4,9/1/2019
5,"Affa Protector",OGW,0.0,0,0,4,2/1/2019
1,"Afterlife",MIR,0.0,0,0,0,11/1/2019
4,"Ainok Bond-Kin",KTK,0.0,0,0,4,2/1/2019
4,"Ainok Bond-Kin",IMA,0.0,0,0,0,12/1/2019
2,"Ainok Bond-Kin",IMA,0.0,1,0,0,2/1/2019
5,"Airdrop Aeronauts",AER,0.0,0,0,0,8/6/2020
2,"Ajani's Mantra",DDH,0.0,0,0,4,11/1/2019
1,"Ajani's Pridemate",M15,0.0,0,0,4,12/1/2019
4,"Ajani's Pridemate",WAR,0.0,0,0,0,5/8/2019
6,"Ajani's Sunstriker",M13,0.0,0,0,0,8/6/2020
1,"Ajani's Sunstriker",M13,0.0,0,0,4,1/1/2019
2,"Ajani's Welcome",M19,0.0,0,0,0,18/8/2018
1,"Ajani, Adversary of Tyrants",M19,0.0,0,0,0,18/8/2018
5,"Akroan Jailer",ORI,0.0,0,0,4,2/1/2019
1,"Akroan Mastiff",JOU,0.0,0,0,4,1/1/2019
1,"Akroan Phalanx",BNG,0.0,0,0,0,12/1/2019
3,"Akroan Skyguard",BNG,0.0,0,0,0,12/1/2019
1,"Akroma's Devoted",LGN,0.0,0,1,0,26/1/2019
1,"Akroma's Vengeance",HOP,0.0,0,0,3,14/7/2019
6,"Akroma's Vengeance",ONS,0.0,1,0,0,7/6/2020
1,"Akroma, Angel of Wrath",LGN,0.0,0,0,0,8/6/2020
1,"Akron Legionnaire",CHR,0.0,0,0,0,9/1/2019
1,"Alabaster Dragon",WTH,0.0,0,0,0,20/7/2020
