Quantity,Name,ExpansionCode,ExpansionName,PurchasePrice,Foil,Condition,Language,PurchaseDate
4,Abbot of Keral Keep,ori,Magic Origins,0.0,False,NearMint,English,2020-03-29
2,About Face,ulg,Urza's Legacy,0.0,False,NearMint,Italian,2018-07-28
4,Abrade,hou,Hour of Devastation,0.0,False,NearMint,English,2020-12-07
9,Accelerate,tor,Torment,0.0,False,NearMint,English,2021-01-25
4,Acceptable Losses,ody,Odyssey,0.0,False,NearMint,English,2021-01-24
1,Acidic Soil,usg,Urza's Saga,0.0,False,NearMint,English,2018-07-28
2,Act of Aggression,nph,New Phyrexia,0.0,False,NearMint,English,2020-03-29
4,Act of Treason,rna,Ravnica Allegiance,0.0,False,NearMint,English,2020-03-15
1,Act of Treason,ktk,Khans of Tarkir,0.0,False,NearMint,Japanese,2018-04-11
1,Act of Treason,ktk,Khans of Tarkir,0.0,True,NearMint,Italian,2018-01-11
3,Act of Treason,m19,Core Set 2019,0.0,False,NearMint,English,2018-08-19
2,Active Volcano,leg,Legends,0.0,False,NearMint,English,2020-08-05
22,Active Volcano,leg,Legends,0.0,False,NearMint,Italian,2020-08-05
1,Active Volcano,chr,Chronicles,0.0,False,NearMint,English,2021-01-25
1,Aerathi Berserker,leg,Legends,0.0,False,NearMint,English,2020-08-05
3,Aerathi Berserker,leg,Legends,0.0,False,NearMint,Italian,2020-08-05
3,Aether Charge,ons,Onslaught,0.0,False,NearMint,English,2021-01-25
1,Aether Charge,ons,Onslaught,0.0,False,NearMint,Italian,2018-07-28
2,Aether Chaser,aer,Aether Revolt,0.0,False,NearMint,Italian,2019-04-03
2,Aether Flash,6ed,Classic Sixth Edition,0.0,False,NearMint,English,2020-04-19
1,Aether Membrane,plc,Planar Chaos,0.0,False,NearMint,English,2021-01-24
1,Aether Membrane,plc,Planar Chaos,0.0,True,NearMint,English,2018-10-31
4,Aftershock,tmp,Tempest,0.0,False,NearMint,English,2018-07-28
1,Aftershock,tmp,Tempest,0.0,False,NearMint,Italian,2019-02-24
5,Agent of Stromgald,all,Alliances,0.0,False,NearMint,English,2020-05-24
1,Agent of Stromgald,all,Alliances,0.0,False,NearMint,English,2021-01-25
2,Aggravated Assault,ons,Onslaught,0.0,False,NearMint,English,2021-01-25
1,Agility,mir,Mirage,0.0,False,NearMint,Portuguese,2020-05-24
3,Ahn-Crop Crasher,akh,Amonkhet,0.0,False,NearMint,English,2018-01-11
1,Ahn-Crop Crasher,akh,Amonkhet,0.0,False,NearMint,Italian,2018-01-11
1,Ahn-Crop Invader,war,War of the Spark,0.0,False,NearMint,English,2020-03-23
1,Airdrop Condor,ons,Onslaught,0.0,False,NearMint,English,2021-01-25
1,Akki Blizzard-Herder,bok,Betrayers of Kamigawa,0.0,False,NearMint,Italian,2018-07-28
1,Akki Coalflinger,evg,Duel Decks Anthology: Elves vs. Goblins,0.0,False,NearMint,English,2018-07-28
1,"Akki Lavarunner // Tok-Tok, Volcano Born",chk,Champions of Kamigawa,0.0,False,NearMint,English,2020-05-24
1,Akki Rockspeaker,chk,Champions of Kamigawa,0.0,False,Played,Italian,2020-06-04
1,Akki Underling,sok,Saviors of Kamigawa,0.0,False,NearMint,English,2018-03-11
3,Akki Underling,sok,Saviors of Kamigawa,0.0,False,NearMint,Italian,2018-09-25
1,Akoum Firebird,bfz,Battle for Zendikar,0.0,False,NearMint,English,2020-05-24
1,Akoum Firebird,bfz,Battle for Zendikar,0.0,False,NearMint,Italian,2019-03-03
3,Akoum Hellkite,bfz,Battle for Zendikar,0.0,False,NearMint,English,2018-05-11
1,Akoum Hellkite,bfz,Battle for Zendikar,0.0,False,NearMint,Japanese,2018-05-11
1,Aladdin,arn,Arabian Nights,0.0,False,NearMint,Italian,2018-07-28
4,Alchemist's Greeting,c19,Commander 2019,0.0,False,NearMint,English,2020-03-22
1,Ali Baba,arn,Arabian Nights,0.0,False,NearMint,Italian,2018-07-28
1,Ali Baba,4ed,Fourth Edition,0.0,False,NearMint,English,2018-09-17
1,Ali from Cairo,arn,Arabian Nights,0.0,False,NearMint,English,2020-12-07
1,Aliban's Tower,hml,Homelands,0.0,False,NearMint,English,2018-09-17
1,Alpha Brawl,dka,Dark Ascension,0.0,False,NearMint,English,2020-05-24
1,Alpine Moon,m19,Core Set 2019,0.0,False,NearMint,English,2018-08-19
1,Ambush,hml,Homelands,0.0,False,Excellent,English,2019-02-24
1,Ambush Party,5ed,Fifth Edition,0.0,False,NearMint,Italian,2019-02-24
1,Ambush Party,hml,Homelands,0.0,False,NearMint,English,2018-09-17
1,Amok,sth,Stronghold,0.0,False,NearMint,Italian,2018-07-28
5,Amplifire,rna,Ravnica Allegiance,0.0,False,NearMint,English,2020-03-15
1,Anaba Ancestor,hml,Homelands,0.0,False,NearMint,Italian,2019-02-24
1,Anaba Bodyguard,hml,Homelands,0.0,False,NearMint,English,2018-09-17
3,Anaba Bodyguard,10e,Tenth Edition,0.0,False,NearMint,Italian,2018-07-28
1,Anaba Shaman,hml,Homelands,0.0,False,NearMint,English,2018-09-17
3,Anaba Shaman,8ed,Eighth Edition,0.0,False,NearMint,Italian,2018-07-28
2,Anaba Spirit Crafter,hml,Homelands,0.0,False,NearMint,English,2020-07-18
3,Anarchist,ody,Odyssey,0.0,False,NearMint,English,2021-01-24
1,Anarchist,ody,Odyssey,0.0,False,NearMint,Italian,2018-09-17
1,Anarchist,9ed,Ninth Edition,0.0,False,NearMint,Italian,2018-03-11
5,Anarchist,exo,Exodus,0.0,False,NearMint,English,2021-01-03
3,Anarchy,ice,Ice Age,0.0,False,NearMint,English,2020-04-20
1,Anarchy,ice,Ice Age,0.0,False,NearMint,Italian,2019-02-24
2,"Anax, Hardened in the Forge",thb,Theros Beyond Death,0.0,False,NearMint,French,2020-03-15
1,"Anax, Hardened in the Forge",vthb,Theros Beyond Death Variants,0.0,False,NearMint,French,2020-03-22
1,Ancient Grudge,tsp,Time Spiral,0.0,False,NearMint,English,2020-05-24
1,Ancient Grudge,tsp,Time Spiral,0.0,False,NearMint,Italian,2018-10-30
3,Ancient Hydra,nem,Nemesis,0.0,False,NearMint,English,2020-05-24
1,Ancient Hydra,nem,Nemesis,0.0,False,NearMint,French,2020-04-19
5,Ancient Kavu,inv,Invasion,0.0,False,NearMint,English,2021-02-22
1,Ancient Kavu,inv,Invasion,0.0,False,Excellent,Italian,2018-07-28
1,Ancient Runes,tmp,Tempest,0.0,False,NearMint,English,2021-01-25
1,Ancient Runes,tmp,Tempest,0.0,False,NearMint,Italian,2018-07-28
1,Anger,uma,Ultimate Masters,0.0,False,NearMint,English,2019-04-03
1,Anger,jud,Judgment,0.0,False,NearMint,Italian,2018-07-29
1,Anger of the Gods,ima,Iconic Masters,0.0,False,NearMint,English,2020-05-24
2,Anje's Ravager,c19,Commander 2019,0.0,False,NearMint,English,2020-03-22
1,Antagonism,usg,Urza's Saga,0.0,False,NearMint,English,2019-02-24
1,Apex of Power,m19,Core Set 2019,0.0,False,NearMint,English,2018-09-18
2,Apex of Power,m19,Core Set 2019,0.0,False,NearMint,Italian,2018-09-25
4,Apocalypse,tmp,Tempest,0.0,False,NearMint,English,2020-04-19
1,Apocalypse,tmp,Tempest,0.0,False,NearMint,German,2020-04-19
1,Apocalypse,tmp,Tempest,0.0,False,NearMint,Italian,2019-02-24
4,Arc Lightning,usg,Urza's Saga,0.0,False,NearMint,English,2018-07-28
1,Arc Lightning,ktk,Khans of Tarkir,0.0,False,NearMint,French,2020-03-29
1,Arc Mage,nem,Nemesis,0.0,False,NearMint,English,2020-05-24
1,Arc Mage,nem,Nemesis,0.0,False,NearMint,French,2020-04-19
1,Arc Runner,m11,Magic 2011,0.0,False,NearMint,English,2020-01-04
2,Arc Trail,som,Scars of Mirrodin,0.0,False,NearMint,English,2020-07-06
